CAS	Tc	Pc	Vc
675-62-7	561.7	2525000	0.000488
2897-60-1	698.7	1598000	0.000865
7351-61-3	708.1	2113000	0.000664
2530-83-8	701.4	1812000	0.000732
14814-09-6	647.5	1863000	0.000736
51526-06-8	780.9	1917000	0.000799
7439-15-8	771	2170000	0.000704
138495-42-8	454.2	2288000	0.00043
1814-88-6	380.11	3137000	0.0002732
431-89-0	374.83	2912000	0.000274
431-63-0	412.38	3412000	0.00027
76-11-9	552	3340000	0.000351
630-20-6	624	4020000	0.000325
811-97-2	374.18	4056000	0.0001988
690-39-1	398.07	3219000	0.000266
23153-23-3	670.9	3296000	0.000435
406-58-6	473.7	3392000	0.00031
460-73-1	427.2	3640000	0.000259
71-55-6	545	4300000	0.000281
2366-36-1	565	3990000	0.000294
354-58-5	483	3320000	0.000321
420-46-2	345.88	3764000	0.000195
679-86-7	447.57	3925000	0.000256
76-12-0	551	3340000	0.000351
79-34-5	645	4090000	0.000325
359-35-3	391.8	4640000	0.000191
632-50-8	827	1670000	0.001022
79-00-5	602	4480000	0.000281
76-13-1	487.25	3410000	0.000325
430-66-0	429.8	5241000	0.000179
4259-00-1	579.54	2939000	0.000417
1520-42-9	840	2040000	0.000808
3073-66-3	611.3	2978000	0.000469
4516-69-2	569.54	2827000	0.000417
40650-41-7	713.6	2719000	0.000555
557-91-5	628	6030000	0.000276
1717-00-6	478.85	4340000	0.000253
75-34-3	523	5070000	0.00024
75-35-4	482	5190000	0.000224
78-99-9	560	4240000	0.000291
374-07-2	418.55	3300000	0.000294
78-01-3	643	2570000	0.000534
75-37-6	386.44	4520000	0.000179
75-38-7	302.8	4460000	0.000154
534-15-6	507.8	3773000	0.000297
590-66-9	591.15	2938000	0.00045
1638-26-2	547	3445000	0.00036
612-00-0	775	2680000	0.000604
119-64-2	720	3650000	0.000408
488-23-3	693	3110000	0.000475
3726-45-2	642	2570000	0.000528
38842-05-6	708	2070000	0.000703
527-53-7	679	2970000	0.000482
100-50-5	655	4030000	0.000345
1679-51-2	703.7	4050000	0.000372
87-61-6	734	4510000	0.000395
96-18-4	652	3870000	0.000334
42205-08-3	683	2380000	0.000593
61827-86-9	702.7	2795000	0.000531
526-73-8	664.5	3454000	0.000414
4773-83-5	726	2770000	0.000529
635-11-0	703	1556000	0.0009127
95-93-2	676	2900000	0.000482
120-82-1	725	3720000	0.000395
877-44-1	684	2380000	0.0006
61827-87-0	697.3	2795000	0.000531
17851-27-3	687.3	2678000	0.00054
95-63-6	649.1	3232000	0.00043
65185-88-8	878	1070000	0.00137
19295-81-9	841	1160000	0.00127
120-80-9	764	7490000	0.0003
590-19-2	452	4360000	0.00022
584-03-2	680	5210000	0.000303
106-93-4	650.15	5477000	0.0002616
78-75-1	647.9	4653000	0.000322
124-73-2	487.8	3393000	0.000341
354-23-4	461.6	3610000	0.000278
99-54-7	758	3600000	0.000436
616-21-7	600	3680000	0.000343
107-06-2	561.6	5370000	0.00022
356-18-3	497	2730000	0.000386
78-87-5	572	4240000	0.000291
76-14-2	418.85	3260000	0.000294
629-14-1	561	2930000	0.000402
367-11-3	566	4299000	0.00029
624-72-6	445	4340000	0.000195
110-71-4	536.15	3871000	0.0002706
7778-85-0	543	3446000	0.00035
17059-44-8	687.7	2724000	0.000586
103-29-7	785.1	2650000	0.000619
558-30-5	521	4660000	0.000242
122-60-1	720	2950000	0.000464
106-88-7	526	4390000	0.000258
540-63-6	663	5360000	0.000209
592-44-9	526	3350000	0.000331
591-95-7	500	3800000	0.000276
78-90-0	587	5270000	0.000316
57-55-6	676.4	5941000	0.000247
75-56-9	482.25	4920000	0.000186
629-20-9	641.4	4420000	0.000328
108-70-3	718	3720000	0.000425
102-25-0	678	2300000	0.000593
717-74-8	696.6	1950000	0.000739
1460-02-2	717.8	1656000	0.000894
108-46-3	810	7490000	0.0003
106-99-0	425	4320000	0.000221
592-57-4	558	4730000	0.000277
109-64-8	680.6	4648000	0.000328
662-01-1	449	2570000	0.000369
142-28-9	603	4150000	0.000291
372-18-9	548.4	4299000	0.000292
96-31-1	787.1	4870000	0.000323
80-73-9	749.9	4275000	0.000362
99-12-7	787.7	3313000	0.000455
702-79-4	708	3000000	0.00057
505-22-6	590	5150000	0.000239
136-35-6	845	2830000	0.000642
79808-30-3	667.1	2186000	0.00069
109-76-2	632	5590000	0.000316
504-63-2	718.2	6550000	0.000239
503-30-0	520	5750000	0.000188
3645-00-9	832	2675000	0.000663
7209-38-3	750.3	2266000	0.000744
4538-37-8	724.3	2947000	0.000459
110-63-4	723.8	5520000	0.00029
619-82-9	819.8	3736000	0.000459
105-08-8	800.3	4000000	0.00044
106-37-6	738.15	4472000	0.000371
110-56-5	641	3610000	0.000343
1476-11-5	640	3780000	0.000343
110-57-6	646	3780000	0.000346
1119-85-3	755	2950000	0.000426
540-36-3	556.9	4400000	0.0002999
123-91-1	587	5208000	0.000238
1012-72-2	708	2300000	0.000732
592-45-0	510	3350000	0.000331
591-93-5	479	3740000	0.000303
626-95-9	708.4	4354000	0.000342
706-31-0	745	2990000	0.000563
111-78-4	645	3900000	0.000366
628-76-2	668	3190000	0.000396
592-42-7	508	3350000	0.000339
3173-72-6	818	2720000	0.000635
462-94-2	642	3735000	0.000422
17059-48-2	717.3	3098000	0.0005
13048-33-4	765	1930000	0.000782
1647-16-1	606.8	2267000	0.000565
78-96-6	614	5670000	0.000278
109-65-9	570.4	4041000	0.000313
143-15-7	727.9	1837000	0.000807
629-04-9	646.1	2897000	0.000482
90-11-9	824	3700000	0.000453
106-94-5	535.5	4578000	0.000263
71-36-3	563.1	4414000	0.000273
106-98-9	419.5	4020000	0.000241
75-68-3	410.29	4041000	0.000225
97-00-7	813.77	3490000	0.000478
90-13-1	785	3400000	0.000434
543-59-9	571.2	3352000	0.000356
15890-40-1	579.82	2898000	0.000417
4850-28-6	579.26	2878000	0.000417
823-76-7	673.7	3361000	0.000432
112-30-1	688	2308000	0.000645
872-05-9	616.6	2223000	0.000584
764-93-2	619.85	2370000	0.000552
661-19-8	824.4	1035000	0.0015289
112-53-8	718.7	1954000	0.000787
112-41-4	657.1	1888000	0.000725
629-96-9	807.7	1154000	0.00138
3452-07-1	771	1220000	0.0013
1569-02-4	560.4	3748000	0.000333
18970-44-0	666	2670000	0.00053
1453-24-3	614.9	3305000	0.000407
