"CASRN"	"Name"	"Formula"	"Lifetime, years"	"Radiative efficiency, W/m^2/ppb"	"20yr GWP"	"100yr GWP"	"20yr GTP"	"50yr GTP"	"100yr GTP"
"124-38-9"	"Carbon dioxide"	"CO2"		0	1	1	1	1	1
"74-82-8"	"Methane"	"CH4"	12.4	0	84	28	67	14	4
"10024-97-2"	"Nitrous Oxide"	"N2O"	121	0	264	265	277	282	234
"75-69-4"	"CFC-11"	"CCl3F"	45	0.26	6900	4660	6890	4890	2340
"75-71-8"	"CFC-12"	"CCl2F2"	100	0.32	10800	10200	11300	11000	8450
"75-72-9"	"CFC-13"	"CClF3"	640	0.25	10900	13900	11700	14200	15900
"76-13-1"	"CFC-113"	"CCl2FCClF2"	85	0.3	6490	5820	6730	6250	4470
"76-14-2"	"CFC-114"	"CClF2CClF2"	190	0.31	7710	8590	8190	9020	8550
"76-15-3"	"CFC-115"	"CClF2CF3"	1020	0.2	5860	7670	6310	7810	8980
"75-43-4"	"HCFC-21"	"CHCl2F"	1.7	0.15	543	148	192	26	20
"75-45-6"	"HCFC-22"	"CHClF2"	11.9	0.21	5280	1760	4200	832	262
"354-21-2"	"HCFC-122"	"CHCl2CF2Cl"	1	0.17	218	59	70	10	8
"354-15-4"	"HCFC-122a"	"CHFClCFCl2"	3.4	0.21	945	258	426	48	36
"306-83-2"	"HCFC-123"	"CHCl2CF3"	1.3	0.15	292	79	98	14	11
"354-23-4"	"HCFC-123a"	"CHClFCF2Cl"	4	0.23	1350	370	659	72	51
"2837-89-0"	"HCFC-124"	"CHClFCF3"	5.9	0.2	1870	527	1120	121	74
"1842-05-3"	"HCFC-132c"	"CH2FCFCl2"	4.3	0.17	1230	338	624	67	47
"1717-00-6"	"HCFC-141b"	"CH3CCl2F"	9.2	0.16	2550	782	1850	271	111
"75-68-3"	"HCFC-142b"	"CH3CClF2"	17.2	0.19	5020	1980	4390	1370	356
"422-56-0"	"HCFC-225ca"	"CHCl2CF2CF3"	1.9	0.22	469	127	170	22	18
"507-55-1"	"HCFC-225cb"	"CHClFCF2CClF2"	5.9	0.29	1860	525	1110	120	73
"102687-65-0"	"(E)-1-Chloro-3,3,3- trifluoroprop-1-ene"	"trans-CF3CH=CHCl"	0.07	0.04	5	1	2		
"75-46-7"	"HFC-23"	"CHF3"	222	0.18	10800	12400	11500	13000	12700
"75-10-5"	"HFC-32"	"CH2F2"	5.2	0.11	2430	677	1360	145	94
"593-53-3"	"HFC-41"	"CH3F"	2.8	0.02	427	116	177	21	16
"354-33-6"	"HFC-125"	"CHF2CF3"	28.2	0.23	6090	3170	5800	2980	967
"359-35-3"	"HFC-134"	"CHF2CHF2"	9.7	0.19	3580	1120	2660	412	160
"811-97-2"	"HFC-134a"	"CH2FCF3"	13.4	0.16	3710	1300	3050	703	201
"430-66-0"	"HFC-143"	"CH2FCHF2"	3.5	0.13	1200	328	549	62	46
"420-46-2"	"HFC-143a"	"CH3CF3"	47.1	0.16	6940	4800	6960	5060	2500
"624-72-6"	"HFC-152"	"CH2FCH2F"	0.4	0.04	60	16	18	3	2
"75-37-6"	"HFC-152a"	"CH3CHF2"	1.5	0.1	506	138	174	24	19
"353-36-6"	"HFC-161"	"CH3CH2F"	0.18	0.02	13	4	4		
"2252-84-8"	"HFC-227ca"	"CF3CF2CHF2"	28.2	0.27	5080	2640	4830	2480	806
"431-89-0"	"HFC-227ea"	"CF3CHFCF3"	38.9	0.26	5360	3350	5280	3440	1460
"677-56-5"	"HFC-236cb"	"CH2FCF2CF3"	13.1	0.23	3480	1210	2840	636	185
"431-63-0"	"HFC-236ea"	"CHF2CHFCF3"	11	0.3	4110	1330	3190	573	195
"690-39-1"	"HFC-236fa"	"CF3CH2CF3"	242	0.24	6940	8060	7400	8400	8380
"679-86-7"	"HFC-245ca"	"CH2FCF2CHF2"	6.5	0.24	2510	716	1570	176	100
"1814-88-6"	"HFC-245cb"	"CF3CF2CH3"	47.1	0.24	6680	4620	6690	4870	2410
