"CAS"	"Name"	"Formula"	"Lifetime, years"	"Radiative efficiency, W/m^2/ppb"	"20yr GWP"	"100yr GWP"	"20yr GTP"	"50yr GTP"	"100yr GTP"	"20yr AGWP"	"100yr AGWP"	"20yr AGTP"	"50yr AGTP"	"100yr AGTP"
"10024-97-2"	"Nitrous Oxide"	"N2O"	121	0	264	265	277	282	234	6.58E-12	2.43E-11	1.89E-13	1.74E-13	1.28E-13
"102687-65-0"	"(E)-1-Chloro-3,3,3- trifluoroprop-1-ene"	"trans-CF3CH=CHCl"	0.07	0.04	5	1	2	0.25	0.205	1.37E-13	1.37E-13	1.09E-15	1.54E-16	1.12E-16
"107-06-2"	"1,2-Dichloroethane"	"CH2ClCH2Cl"	0.18	0.01	3	0.899	0.975	0.151	0.124	8.24E-14	8.24E-14	6.67E-16	9.29E-17	6.77E-17
"115-25-3"	"PFC-318"	"c-C4F8"	3200	0.32	7110	9540	7680	9660	11500	1.77E-10	8.75E-10	5.25E-12	5.96E-12	6.27E-12
"116-14-3"	"PFC-1114"	"CF2=CF2"	0	0	0.0108	0.00292	0.00311	0.000486	0.000402	2.68E-16	2.68E-16	2.13E-18	3E-19	2.2E-19
"116-15-4"	"PFC-1216"	"CF3CF=CF2"	0.01	0.01	0.258	0.07	0.0747	0.0117	0.00963	6.42E-15	6.42E-15	5.11E-17	7.21E-18	5.27E-18
"1187-93-5"	"HFE-216"	"CF3OCF=CF2"	0.02	0.02	0.771	0.209	0.224	0.0348	0.0289	1.92E-14	1.92E-14	1.53E-16	2.15E-17	1.58E-17
"124-38-9"	"Carbon dioxide"	"CO2"		0	1	1	1	1	1	2.49E-14	9.17E-14	6.84E-16	6.17E-16	5.47E-16
"124-72-1"	"Halon-2401"	"CHFBrCF3"	2.9	0.19	674	184	283	34	25	1.68E-11	1.68E-11	1.94E-13	2.07E-14	1.39E-14
"124-73-2"	"Halon-2402"	"CBrF2CBrF2"	20	0.31	3440	1470	3100	1150	304	8.59E-11	1.35E-10	2.12E-12	7.08E-13	1.66E-13
"13171-18-1"	"HFE-356mmz1"	"(CF3)2CHOCH3"	0.27	0.15	50	14	15	2	2	1.25E-12	1.25E-12	1.02E-14	1.41E-15	1.02E-15
"1344118-09-7"	"3,3,3-Trifluoropropyl formate"	"HCOOCH2CH2CF3"	0.3	0.13	64	17	19	3	2	1.6E-12	1.6E-12	1.31E-14	1.8E-15	1.31E-15
"1344118-10-0"	"Perfluoropropyl acetate"	"CH3COOCF2CF2CF3"	0.06	0.11	6	2	2	0.288	0.238	1.59E-13	1.59E-13	1.27E-15	1.78E-16	1.3E-16
"1344118-11-1"	"1,1-Difluoroethyl carbonofluoridate"	"FCOOCF2CH3"	0.3	0.17	99	27	30	5	4	2.46E-12	2.46E-12	2.02E-14	2.78E-15	2.02E-15
"1344118-13-3"	"1,1-Difluoroethyl 2,2,2-trifluoroacetate"	"CF3COOCF2CH3"	0.3	0.27	113	31	34	5	4	2.83E-12	2.83E-12	2.33E-14	3.2E-15	2.32E-15
"134769-21-4"	"HFE-329mcc2"	"CHF2CF2OCF2CF3"	22.5	0.53	6720	3070	6180	2580	718	1.68E-10	2.81E-10	4.23E-12	1.59E-12	3.93E-13
