Name	CAS	Acronym	Formula	Lifetime, years	Radiative efficiency, W/m^2/ppb	20yr AGWP	20yr GWP	100yr AGWP	100yr GWP	500yr AGWP	500yr GWP	50yr AGTP	50yr GTP	100yr AGTP	100yr GTP	50yr CGTP	100yr CGTP
Carbon dioxide	124-38-9		CO2		0.0000133	0.0000000000000243	1	0.0000000000000895	1	0.000000000000314	1	4.28E-016	1	3.95E-016	1	0	0
Methane	74-82-8		CH4	11.8	0.000388	0.00000000000198	81.2	0.00000000000249	27.9	0.0000000000025	7.95	4.73E-015	11	2.12E-015	5.38	2730	3320
Nitrous oxide	10024-97-2		N2O	109	0.0032	0.00000000000665	273	0.0000000000245	273	0.0000000000407	130	0.000000000000124	290	0.0000000000000919	233	0	0
Trichlorofluoromethane	75-69-4	CFC-11	CCl3F	52	0.291	0.000000000202	8320	0.000000000557	6230	0.000000000657	2090	0.00000000000272	6350	0.0000000000014	3540		
Dichlorodifluoromethane	75-71-8	CFC-12	CCl2F2	102	0.358	0.00000000031	12700	0.00000000112	12500	0.00000000179	5710	0.00000000000567	13300	0.0000000000041	10400		
Chlorotrifluoromethane	75-72-9	CFC-13	CClF3	640	0.278	0.000000000301	12400	0.00000000145	16200	0.0000000055	17500	0.00000000000726	17000	0.0000000000074	18800		
1,1,2,2-tetrachloro-1,2-difluoroethane	76-12-0	CFC-112	CCl2FCCl2F	63.6	0.282	0.000000000137	5620	0.000000000413	4620	0.000000000525	1670	0.00000000000206	4810	0.00000000000119	3020		
1,1,1,2-tetrachloro-2,2-difluoroethane	76-11-9	CFC-112a	CCl3CClF2	52	0.246	0.000000000115	4740	0.000000000317	3550	0.000000000374	1190	0.00000000000155	3620	0.000000000000795	2010		
1,1,2-trichloro-1,2,2-trifluoroethane	76-13-1	CFC-113	CCl2FCClF2	93	0.301	0.000000000167	6860	0.000000000583	6520	0.00000000089	2830	0.00000000000296	6910	0.00000000000206	5210		
1,1,1-trichloro-2,2,2-trifluoroethane	354-58-5	CFC-113a	CCl3CF3	55	0.241	0.000000000124	5110	0.000000000351	3930	0.000000000422	1350	0.00000000000173	4030	0.000000000000917	2320		
1,2-dichloro-1,1,2,2-tetrafluoroethane	76-14-2	CFC-114	CClF2CClF2	189	0.314	0.000000000201	8260	0.000000000844	9430	0.00000000193	6150	0.00000000000427	9990	0.00000000000371	9410		
1,1-dichloro-1,2,2,2-tetrafluoroethane	374-07-2	CFC-114a	CCl2FCF3	105	0.297	0.000000000183	7510	0.000000000664	7420	0.00000000108	3450	0.00000000000337	7880	0.00000000000246	6240		
1-chloro-1,1,2,2,2-pentafluoroethane	76-15-3	CFC-115	CClF2CF3	540	0.246	0.00000000018	7410	0.000000000859	9600	0.0000000031	9880	0.0000000000043	10100	0.00000000000433	11000		
(1s,2s)-1,2-dichloro-1,2,3,3,4,4-hexafluorocyclobutane	3832-15-3	E-R316c	trans cyc (-CClFCF2CF2CClF-)	75	0.27	0.000000000117	4810	0.000000000379	4230	0.000000000518	1650	0.00000000000191	4450	0.0000000000012	3040		
(1r,2s)-1,2-dichloro-1,2,3,3,4,4-hexafluorocyclobutane	3934-26-7	Z-R316c	cis cyc (-CClFCF2CF2CClF-)	114	0.3	0.000000000136	5590	0.000000000507	5660	0.000000000865	2760	0.00000000000257	6020	0.00000000000194	4910		
(e)-1,2-dichloro-1,2-difluoroethene	598-88-9	CFC 1112	CClF=CClF	0.019	0.013	0.0000000000000111	0.454	0.0000000000000113	0.126	0.0000000000000113	0.036	1.18E-017	0.028	8.96E-018	0.023	12.9	15.3
1,1-dichloro-2,2-difluoroethene	79-35-6	CFC 1112a	CCl2=CF2	0.006	0.007	1.84E-015	0.076	1.88E-015	0.021	1.88E-015	0.006	1.97E-018	0.005	1.49E-018	0.004	2.16	2.55
Dichlorofluoromethane	75-43-4	HCFC-21	CHCl2F	1.7	0.145	0.000000000014	575	0.0000000000143	160	0.0000000000143	45.6	0.0000000000000152	35.5	0.0000000000000114	29	16300	19400
Chlorodifluoromethane	75-45-6	HCFC-22	CHClF2	11.9	0.214	0.000000000139	5690	0.000000000175	1960	0.000000000176	560	0.000000000000336	785	0.000000000000149	379	192000	234000
Chlorofluoromethane	593-70-4	HCFC-31	CH2ClF	1.2	0.068	0.00000000000696	286	0.00000000000711	79.4	0.00000000000711	22.6	7.52E-015	17.6	5.67E-015	14.4	8130	9630
1,1,2,2-tetrachloro-1-fluoroethane	354-14-3	HCFC-121	CHCl2CCl2F	1.11	0.146	0.00000000000511	210	0.00000000000522	58.3	0.00000000000522	16.6	5.52E-015	12.9	4.16E-015	10.5	5970	7070
1,2,2-trichloro-1,1-difluoroethane	354-21-2	HCFC-122	CHCl2CClF2	0.9	0.159	0.00000000000494	203	0.00000000000505	56.4	0.00000000000505	16.1	5.33E-015	12.5	4.03E-015	10.2	5780	6850
1,1,2-trichloro-1,2-difluoroethane	354-15-4	HCFC-122a	CHClFCCl2F	3.1	0.201	0.0000000000214	879	0.0000000000219	245	0.0000000000219	69.9	0.0000000000000236	55.3	0.0000000000000176	44.7	25000	29600
2,2-dichloro-1,1,1-trifluoroethane	306-83-2	HCFC-123	CHCl2CF3	1.3	0.16	0.00000000000792	325	0.00000000000809	90.4	0.00000000000809	25.8	8.57E-015	20	6.46E-015	16.4	9260	11000
1,2-dichloro-1,1,2-trifluoroethane	354-23-4	HCFC-123a	CHClFCClF2	4	0.227	0.0000000000342	1410	0.0000000000353	395	0.0000000000353	113	0.0000000000000385	90	0.0000000000000285	72.3	40200	47700
2-chloro-1,1,1,2-tetrafluoroethane	2837-89-0	HCFC-124	CHClFCF3	5.9	0.207	0.0000000000503	2070	0.0000000000534	597	0.0000000000534	170	0.0000000000000612	143	0.0000000000000435	110	60500	71900
1-chloro-1,1,2,2-tetrafluoroethane	354-25-6	HCFC-124a	CHF2CClF2	17	0.25	0.000000000124	5110	0.000000000185	2070	0.000000000186	592	0.000000000000521	1220	0.000000000000177	448	192000	244000
1,2-dichloro-1,2-difluoroethane	431-06-1	HCFC-132	CHClFCHClF	1.73	0.143	0.0000000000107	440	0.0000000000109	122	0.0000000000109	34.9	0.0000000000000116	27.2	8.76E-015	22.2	12500	14800
1,1-dichloro-2,2-difluoroethane	471-43-2	HCFC-132a	CHCl2CHF2	1.12	0.127	0.00000000000617	253	0.0000000000063	70.4	0.0000000000063	20.1	6.66E-015	15.6	5.03E-015	12.7	7210	8540
1,1-dichloro-1,2-difluoroethane	1842-05-3	HCFC-132c	CH2FCCl2F	4.1	0.169	0.0000000000296	1220	0.0000000000306	342	0.0000000000306	97.6	0.0000000000000334	78.1	0.0000000000000247	62.7	34800	41300
2-chloro-1,1,1-trifluoroethane	75-88-7	HCFC-133a	CH2ClCF3	4.6	0.15	0.0000000000334	1370	0.0000000000347	388	0.0000000000347	111	0.0000000000000382	89.3	0.0000000000000281	71.3	39400	46800
1,2-dichloro-1-fluoroethane	430-57-9	HCFC-141	CH2ClCHClF	1.14	0.072	0.00000000000408	168	0.00000000000417	46.6	0.00000000000417	13.3	4.41E-015	10.3	3.33E-015	8.43	4770	5650
1,1-dichloro-1-fluoroethane	1717-00-6	HCFC-141b	CH3CCl2F	9.4	0.161	0.0000000000659	2710	0.000000000077	860	0.000000000077	246	0.000000000000115	269	0.000000000000064	162	85800	103000
1-chloro-1,1-difluoroethane	75-68-3	HCFC-142b	CH3CClF2	18	0.193	0.000000000134	5510	0.000000000205	2300	0.000000000207	658	0.000000000000611	1430	0.000000000000203	514	211000	271000
3,3-dichloro-1,1,1,2,2-pentafluoropropane	422-56-0	HCFC-225ca	CHCl2CF2CF3	1.9	0.219	0.000000000012	491	0.0000000000122	137	0.0000000000122	39	0.000000000000013	30.4	9.79E-015	24.8	14000	16600
1,3-dichloro-1,1,2,2,3-pentafluoropropane	507-55-1	HCFC-225cb	CHClFCF2CClF2	5.9	0.293	0.0000000000478	1960	0.0000000000508	568	0.0000000000508	162	0.0000000000000582	136	0.0000000000000414	105	57500	68300
(e)-1-chloro-3,3,3-trifluoroprop-1-ene	102687-65-0	HCFO-1233zd(E)	(E)-CF3CH=CHCl	0.116	0.065	0.00000000000034	14	0.000000000000347	3.88	0.000000000000347	1.11	3.64E-016	0.851	2.76E-016	0.7	398	471
1-chloro-3,3,3-trifluoroprop-1-ene	99728-16-2	HCFO-1233zd(Z)	(Z)-CF3CH=CHCl	0.036	0.025	0.0000000000000398	1.64	0.0000000000000406	0.454	0.0000000000000406	0.129	4.25E-017	0.099	3.23E-017	0.082	46.6	55.2
(e)-1-chloro-2-fluoroethene	460-16-2		(E/Z)-CHCl=CHF	0.005	0.001	3.2E-016	0.013	3.27E-016	0.004	3.27E-016	0.001	3.42E-019	0.001	2.6E-019	0.001	0.375	0.444
Trifluoromethane	75-46-7	HFC-23	CHF3	228	0.191	0.000000000301	12400	0.00000000131	14600	0.0000000033	10500	0.0000000000066	15400	0.00000000000595	15100		
Difluoromethane	75-10-5	HFC-32	CH2F2	5.4	0.111	0.0000000000655	2690	0.000000000069	771	0.000000000069	220	0.0000000000000775	181	0.0000000000000561	142	78200	92900
Fluoromethane	593-53-3	HFC-41	CH3F	2.8	0.025	0.0000000000118	485	0.0000000000121	135	0.0000000000121	38.6	0.000000000000013	30.4	9.72E-015	24.6	13800	16400
1,1,1,2,2-pentafluoroethane	354-33-6	HFC-125	CHF2CF3	30	0.234	0.000000000164	6740	0.000000000335	3740	0.000000000349	1110	0.00000000000141	3300	0.000000000000512	1300		
1,1,2,2-tetrafluoroethane	359-35-3	HFC-134	CHF2CHF2	10	0.194	0.000000000095	3900	0.000000000113	1260	0.000000000113	361	0.00000000000018	420	0.0000000000000944	239	126000	151000
1,1,1,2-tetrafluoroethane	811-97-2	HFC-134a	CH2FCF3	14	0.167	0.000000000101	4140	0.000000000137	1530	0.000000000137	436	0.000000000000314	733	0.000000000000121	306	147000	181000
1,1,2-trifluoroethane	430-66-0	HFC-143	CH2FCHF2	3.6	0.128	0.0000000000317	1300	0.0000000000326	364	0.0000000000326	104	0.0000000000000353	82.6	0.0000000000000263	66.6	37100	44000
1,1,1-trifluoroethane	420-46-2	HFC-143a	CH3CF3	51	0.168	0.000000000191	7840	0.00000000052	5810	0.000000000609	1940	0.00000000000253	5910	0.00000000000128	3250		
1,2-difluoroethane	624-72-6	HFC-152	CH2FCH2F	0.471	0.045	0.00000000000189	77.6	0.00000000000193	21.5	0.00000000000193	6.14	2.03E-015	4.74	1.53E-015	3.89	2210	2610
