CAS	Chemical	A	B	C	D	E	Tmin	Tmax
75-07-0	Acetaldehyde	115100	-433	1.425	0	0	150.15	294
60-35-5	Acetamide	102300	128.7	0	0	0	354.15	571
64-19-7	Acetic acid	139640	-320.8	0.8985	0	0	289.81	391.05
108-24-7	Acetic anhydride	36600	511	0	0	0	250	350
67-64-1	Acetone	135600	-177	0.2837	0.000689	0	178.45	329.44
75-05-8	Acetonitrile	97582	-122.2	0.34085	0	0	229.32	354.75
74-86-2	Acetylene	-122020	3082.7	-15.895	0.027732	0	192.4	250
107-02-8	Acrolein	103090	-247.8	1.0343	0	0	253	379.5
79-10-7	Acrylic acid	55300	300	0	0	0	286.15	375
107-13-1	Acrylonitrile	109900	-109.75	0.35441	0	0	189.63	400
132259-10-0	Air	-214460	9185.1	-106.12	0.41616	0	75	115
100-66-3	Anisole	150940	93.455	0.23602	0	0	298.15	484.2
7440-37-1	Argon	134390	-1989.4	11.043	0	0	83.78	135
55-21-0	Benzamide	161440	260.66	0	0	0	403	563.15
71-43-2	Benzene	162940	-344.94	0.85562	0	0	278.68	500
108-98-5	Benzenethiol	119780	180.34	0	0	0	258.27	442.29
65-85-0	Benzoic acid	-5480	647.12	0	0	0	395.45	450
100-47-0	Benzonitrile	93383	242.61	0	0	0	260.4	464.15
119-61-9	Benzophenone	156130	454.49	0	0	0	321.35	640
100-51-6	Benzyl alcohol	-334997	3644.21	-7.77514	0.00591102	0	257.85	478.6
539-30-0	Benzyl ethyl ether	87500	480	0	0	0	275.65	458.15
100-53-8	Benzyl mercaptan	100320	346.89	0	0	0	243.95	472.03
92-52-4	Biphenyl	121770	429.3	0	0	0	342.2	533.37
7726-95-6	Bromine	179400	-667.11	1.0701	0	0	265.9	331.9
108-86-1	Bromobenzene	121600	-9.45	0.358	0	0	293.15	495.08
74-96-4	Bromoethane	94364	-109.12	0.44032	0	0	160	320
74-83-9	Bromomethane	129730	-596.54	2.16	-0.0024234	0	184.45	276.71
590-19-2	1,2-Butadiene	135150	-311.14	0.97007	-0.0001523	0	136.95	290
106-99-0	1,3-Butadiene	128860	-323.1	1.015	0.000032	0	165	350
106-97-8	Butane	191030	-1675	12.5	-0.03874	0.000046121	134.86	400
71-36-3	1-Butanol	191200	-730.4	2.2998	0	0	183.85	391.9
78-92-2	2-Butanol	426790	-3694.6	13.828	-0.0135	0	158.45	372.9
106-98-9	1-Butene	182050	-1611	11.963	-0.037454	0.000045027	87.8	380
590-18-1	cis-2-Butene	126680	-65.47	-0.64	0.002912	0	134.26	350
624-64-6	trans-2-Butene	112760	-104.7	0.5214	0	0	167.62	274.03
123-86-4	Butyl acetate	111850	384.52	0	0	0	298.15	399.26
104-51-8	Butylbenzene	182470	-13.912	0.72897	0	0	185.3	400
109-79-5	Butyl mercaptan	232190	-804.35	2.7063	-0.0023017	0	157.46	390
513-53-1	sec-Butyl mercaptan	197890	-491.54	1.7219	-0.0012499	0	133.02	370
107-00-6	1-Butyne	136340	-300.4	1.0216	0	0	147.43	298.15
123-72-8	Butyraldehyde	65682	1329.1	-7.1579	0.012755	0	176.75	300
107-92-6	Butyric acid	237700	-746.4	1.829	0	0	267.95	436.42
109-74-0	Butyronitrile	104000	174	0	0	0	161.25	390.75
124-38-9	Carbon dioxide	-8304300	104370	-433.33	0.60052	0	220	290
75-15-0	Carbon disulfide	85600	-122	0.5605	-0.001452	0.000002008	161.11	552
56-23-5	Carbon tetrachloride	-752700	8966.1	-30.394	0.034455	0	250.33	388.71
75-73-0	Carbon tetrafluoride	104600	-500.6	2.2851	0	0	89.56	145.1
7782-50-5	Chlorine	63936	46.35	-0.1623	0	0	172.12	239.12
108-90-7	Chlorobenzene	-1307500	15338	-53.974	0.063483	0	227.95	360
75-00-3	Chloroethane	127900	-345.15	0.915	0	0	134.8	340
67-66-3	Chloroform	124850	-166.34	0.43209	0	0	233.15	366.48
74-87-3	Chloromethane	96910	-207.9	0.37456	0.000488	0	175.43	373.15
540-54-5	1-Chloropropane	132280	-153.27	0.50836	0	0	150.35	319.67
75-29-6	2-Chloropropane	69362	215.01	0	0	0	200	308.85
108-39-4	m-Cresol	-246700	3256.8	-7.4202	0.0060467	0	285.39	400
95-48-7	o-Cresol	-185150	3148	-8.0367	0.007254	0	304.2	400
106-44-5	p-Cresol	259980	-1112.3	4.9427	-0.0054367	0	307.93	400
98-82-8	Cumene	61723	494.81	0	0	0	177.14	425.56
460-19-5	Cyanogen	65516	144.7	0.063229	0	0	200.08	300.08
287-23-0	Cyclobutane	101920	-215.81	0.8103	0	0	190	298.15
110-82-7	Cyclohexane	-220600	3118.3	-9.4216	0.010687	0	279.69	400
108-93-0	Cyclohexanol	-40000	853	0	0	0	296.6	434
108-94-1	Cyclohexanone	6110.4	600.94	0	0	0	290	489.75
110-83-8	Cyclohexene	105850	-60	0.68	0	0	169.67	356.12
287-92-3	Cyclopentane	122530	-403.8	1.7344	-0.0010975	0	179.28	322.4
142-29-0	Cyclopentene	125380	-349.7	1.143	0	0	138.13	317.38
75-19-4	Cyclopropane	89952	-196.63	0.65237	0	0	150	298.15
1569-69-3	Cyclohexyl mercaptan	177560	-179.12	0.76723	0	0	189.64	431.95
112-31-2	Decanal	150460	586.63	0	0	0	267.15	488.15
124-18-5	Decane	278620	-197.91	1.0737	0	0	243.51	460
334-48-5	Decanoic acid	219840	140.41	0.9968	0	0	304.75	543.15
112-30-1	1-Decanol	4988500	-52898	216.35	-0.37538	0.00023674	280.05	503
872-05-9	1-Decene	417440	-1616.5	5.3948	-0.004348	0	206.89	443.75
143-10-2	Decyl mercaptan	314570	-160.93	0.95561	0	0	247.56	512.35
764-93-2	1-Decyne	276900	-371.23	1.5774	0	0	229.15	447.15
557-91-5	1,1-Dibromoethane	149400	-231.8	0.5946	0	0	210.15	381.15
106-93-4	1,2-Dibromoethane	200560	-491.44	0.9187	0	0	282.85	410
74-95-3	Dibromomethane	202580	-726.3	1.3377	0	0	240	370.1
142-96-1	Dibutyl ether	270720	-259.83	0.95427	0	0	175.3	450
541-73-1	m-Dichlorobenzene	114880	187.25	0	0	0	248.39	400
95-50-1	o-Dichlorobenzene	93093	183.97	0.2314	0	0	273.15	528.75
106-46-7	p-Dichlorobenzene	133950	-24.84	0.48191	0	0	326.14	513.56
75-34-3	1,1-Dichloroethane	126340	-94.63	0.32	0	0	176.19	330.45
107-06-2	1,2-Dichloroethane	179170	-444.74	0.93009	0	0	237.49	356.59
75-09-2	Dichloromethane	98968	-62.941	0.23265	0	0	180	320
78-99-9	1,1-Dichloropropane	144560	-53.605	0.30617	0	0	180	361.25
78-87-5	1,2-Dichloropropane	111560	149.44	0	0	0	275	369.52
111-42-2	Diethanol amine	184200	286	0	0	0	301.15	541.54
109-89-7	Diethyl amine	101330	243.18	0	0	0	223.35	328.6
60-29-7	Diethyl ether	44400	1301	-5.5	0.008763	0	156.92	460
352-93-2	Diethyl sulfide	238520	-1038.4	4.0587	-0.0044691	0	181.95	322.08
624-72-6	1,2-Difluoroethane	82577	109.85	0	0	0	215	283.65
75-10-5	Difluoromethane	263980	-1791.1	4.3666	0	0	200	250
108-18-9	Di-isopropyl amine	98434	429.04	0	0	0	275	357.05
108-20-3	Di-isopropyl ether	163000	-4.5	0.62	0	0	187.65	341.45
565-80-0	Di-isopropyl ketone	179270	28.37	0.5375	0	0	204.81	410
534-15-6	1,1-Dimethoxyethane	187790	-313.41	1.1023	0	0	159.95	337.45
7778-85-0	1,2-Dimethoxypropane	199930	-191.5	0.87664	0	0	226.1	366.15
503-17-3	Dimethyl acetylene	88153	124.16	0	0	0	240.91	300.13
124-40-3	Dimethyl amine	-214870	3787.2	-13.781	0.016924	0	180.96	298.15
79-29-8	2,3-Dimethylbutane	129450	18.5	0.608	0	0	145.19	331.13
590-66-9	1,1-Dimethylcyclohexane	134500	8.765	0.81151	0	0	239.66	392.7
2207-01-4	cis-1,2-Dimethylcyclohexane	150130	-62.38	0.8851	0	0	223.16	402.94
6876-23-9	trans-1,2-Dimethylcyclohexane	155560	-145.26	1.0932	0	0	184.99	396.58
624-92-0	Dimethyl disulfide	171580	-256.67	0.5727	0	0	188.44	360
115-10-6	Dimethyl ether	110100	-157.47	0.51853	0	0	131.65	250
68-12-2	N,N-Dimethyl formamide	147900	-106	0.384	0	0	273.82	466.44
565-59-3	2,3-Dimethylpentane	146420	59.2	0.604	0	0	90	380
131-11-3	Dimethyl phthalate	206560	325.75	0	0	0	274.16	360
1111-74-6	Dimethylsilane	131810	0	0	0	0	298.15	298.15
75-18-3	Dimethyl sulfide	146950	-380.06	1.2035	-0.00084787	0	174.88	310.48
67-68-5	Dimethyl sulfoxide	240300	-595	1.013	0	0	291.67	422.15
120-61-6	Dimethyl terephthalate	190020	431.04	0	0	0	423.4	466.35
123-91-1	1,4-Dioxane	956860	-5559.9	9.6124	0	0	284.95	374.47
101-84-8	Diphenyl ether	134160	447.67	0	0	0	300.03	570
142-84-7	Dipropyl amine	49120	562.24	0	0	0	277.9	407.9
112-40-3	Dodecane	508210	-1368.7	3.1015	0	0	263.57	330
112-95-8	Eicosane	352720	807.32	0.2122	0	0	309.58	616.93
64-17-5	Ethanol	102640	-139.63	-0.030341	0.0020386	0	159.05	390
141-78-6	Ethyl acetate	226230	-624.8	1.472	0	0	189.6	350.21
75-04-7	Ethyl amine	121700	38.993	0	0	0	192.15	289.73
100-41-4	Ethylbenzene	154040	-142.29	0.80539	0	0	178.2	409.35
93-89-0	Ethyl benzoate	124500	370.6	0	0	0	238.45	486.55
88-09-5	2-Ethyl butanoic acid	56359	603.02	0	0	0	258.15	466.95
105-54-4	Ethyl butyrate	82434	422.45	0.20992	0	0	285.5	428.25
1678-91-7	Ethylcyclohexane	132360	72.74	0.64738	0	0	161.84	404.95
1640-89-7	Ethylcyclopentane	178520	-518.35	2.3255	-0.0016818	0	134.71	301.82
74-85-1	Ethylene	247390	-4428	40.936	-0.1697	0.00026816	104	252.7
107-15-3	Ethylenediamine	184440	-150.2	0.37044	0	0	284.29	390.41
107-21-1	Ethylene glycol	35540	436.78	-0.18486	0	0	260.15	493.15
151-56-4	Ethyleneimine	46848	205.35	0	0	0	250	329
75-21-8	Ethylene oxide	144710	-758.87	2.8261	-0.003064	0	160.65	283.85
109-94-4	Ethyl formate	80000	223.6	0	0	0	254.2	374.2
149-57-5	2-Ethyl hexanoic acid	207670	-17.907	1.0493	0	0	235	510.1
5756-43-4	Ethylhexyl ether	146040	458.22	0	0	0	298.15	417.15
625-54-7	Ethylisopropyl ether	106250	292.15	0	0	0	298.15	326.15
565-69-5	Ethylisopropyl ketone	229250	-404.54	1.1382	0	0	204.15	386.55
75-08-1	Ethyl mercaptan	134670	-234.39	0.59656	0	0	125.26	315.25
105-37-3	Ethyl propionate	76330	400.1	0	0	0	298.15	410
628-32-0	Ethylpropyl ether	103680	726.3	-2.6047	0.0040957	0	145.65	320
115-21-9	Ethyltrichlorosilane	105150	85.318	0.46693	0	0	167.55	371.05
7782-41-4	Fluorine	-94585	7529.9	-139.6	1.1301	-0.0033241	58	98
462-06-6	Fluorobenzene	-991200	11734	-40.669	0.047333	0	239.99	319.99
353-36-6	Fluoroethane	85663	-118.56	0.55459	0	0	140	240
593-53-3	Fluoromethane	74746	-132.32	0.53772	0	0	140	220
50-00-0	Formaldehyde	61900	28.3	0	0	0	204	234
75-12-7	Formamide	63400	150.6	0	0	0	292	493
64-18-6	Formic acid	78060	71.54	0	0	0	281.45	380
