CAS	Name	A	B	C	D	E	Tmin	Tmax
7664-41-7	Ammonia	61.289	80925	799.4	-2651	0	203.15	401.15
71-43-2	Benzene	162940	-344.94	0.85562	0	0	278.68	500
584-03-2	1,2-Butanediol	55.136	314200	280.19	1413.9	0	220	670
107-88-0	1,3-Butanediol	42.152	324580	517.35	1449.5	0	196.15	670
630-08-0	Carbon monoxide	65.429	28723	-847.39	1959.6	0	68.15	132
75-37-6	1,1-Difluoroethane	67.155	105580	310.21	-490.54	0	154.56	359.98
74-84-0	Ethane	44.009	89718	918.77	-1886	0	92	290
142-82-5	Heptane	61.26	314410	1824.6	-2547.9	0	182.57	520
1333-74-0	Hydrogen	66.653	6765.9	-123.63	478.27	0	13.95	32
7783-06-4	Hydrogen sulfide	64.666	49354	22.493	-1623	0	187.68	370
74-82-8	Methane	65.708	38883	-257.95	614.07	0	90.69	190
74-98-6	Propane	62.983	113630	633.21	-873.46	0	85.47	360
100-21-0	Terephthalic acid	0	0	0	0	0	0	0
