Compound Number	Compound Name	Compound Formula	CAS Number	Molecular Wt	A	B	C	D	E	Tmin	Cp at Tmin 	Tmax	Cp at Tmax 	
1	Acetaldehyde	C2H4O	75-07-0	44.053	115100.00000000	-433.0000000	1.42500000	0.00000000	0.0000000	150.15	8.22E-06	294.00	1.11E-05	
2	Acetamide	C2H5NO	60-35-5	59.067	102300.00000000	128.7000000	0.00000000	0.00000000	0.0000000	354.15	1.48E-05	571.00	1.76E-05	
3	Acetic acid	C2H4O2	64-19-7	60.052	139640.00000000	-320.8000000	0.89850000	0.00000000	0.0000000	289.81	1.22E-05	391.05	1.52E-05	
4	Acetic anhydride	C4H6O3	108-24-7	102.089	36600.00000000	511.0000000	0.00000000	0.00000000	0.0000000	250.00	1.64E-05	350.00	2.15E-05	
5	Acetone	C3H6O	67-64-1	58.079	135600.00000000	-177.0000000	0.28370000	0.00068900	0.0000000	178.45	1.17E-05	329.44	1.33E-05	
6	Acetonitrile	C2H3N	75-05-8	41.052	97582.00000000	-122.2000000	0.34085000	0.00000000	0.0000000	229.32	8.75E-06	354.75	9.71E-06	
7	Acetylene	C2H2	74-86-2	26.037	-122020.00000000	3082.7000000	-15.89500000	0.02773200	0.0000000	192.40	8.02E-06	250.00	8.85E-06	
8	Acrolein	C3H4O	107-02-8	56.063	103090.00000000	-247.8000000	1.03430000	0.00000000	0.0000000	253.00	1.07E-05	379.50	1.58E-05	
9	Acrylic acid	C3H4O2	79-10-7	72.063	55300.00000000	300.0000000	0.00000000	0.00000000	0.0000000	286.15	1.41E-05	375.00	1.68E-05	
10	Acrylonitrile	C3H3N	107-13-1	53.063	109900.00000000	-109.7500000	0.35441000	0.00000000	0.0000000	189.63	1.02E-05	400.00	1.23E-05	
11	Air	Mixture	132259-10-0	28.96	-214460.00000000	9185.1000000	-106.12000000	0.41616000	0.0000000	75.00	5.31E-06	115.00	7.13E-06	
13	Anisole	C7H8O	100-66-3	108.138	150940.00000000	93.4550000	0.23602000	0.00000000	0.0000000	298.15	2.00E-05	484.20	2.52E-05	
14	Argon	Ar	7440-37-1	39.948	134390.00000000	-1989.4000000	11.04300000	0.00000000	0.0000000	83.78	4.52E-06	135.00	6.71E-06	
15	Benzamide	C7H7NO	55-21-0	121.137	161440.00000000	260.6600000	0.00000000	0.00000000	0.0000000	403.00	2.66E-05	563.15	3.08E-05	
16	Benzene	C6H6	71-43-2	78.112	129440.00000000	-169.5000000	0.64781000	0.00000000	0.0000000	278.68	1.33E-05	353.24	1.50E-05	
17	Benzenethiol	C6H6S	108-98-5	110.177	119780.00000000	180.3400000	0.00000000	0.00000000	0.0000000	258.27	1.66E-05	442.29	2.00E-05	
18	Benzoic acid	C7H6O2	65-85-0	122.121	-5480.00000000	647.1200000	0.00000000	0.00000000	0.0000000	395.45	2.50E-05	450.00	2.86E-05	
19	Benzonitrile	C7H5N	100-47-0	103.121	93383.00000000	242.6100000	0.00000000	0.00000000	0.0000000	260.40	1.57E-05	464.15	2.06E-05	
20	Benzophenone	C13H10O	119-61-9	182.218	156130.00000000	454.4900000	0.00000000	0.00000000	0.0000000	321.35	3.02E-05	640.00	4.47E-05	
21	Benzyl alcohol	C7H8O	100-51-6	108.138	-334997.00000000	3644.2100000	-7.77514000	0.00591102	0.0000000	257.85	1.89E-05	478.60	2.76E-05	
22	Benzyl ethyl ether	C9H12O	539-30-0	136.191	87500.00000000	480.0000000	0.00000000	0.00000000	0.0000000	275.65	2.20E-05	458.15	3.07E-05	
23	Benzyl mercaptan	C7H8S	100-53-8	124.203	100320.00000000	346.8900000	0.00000000	0.00000000	0.0000000	243.95	1.85E-05	472.03	2.64E-05	
24	Biphenyl	C12H10	92-52-4	154.208	121770.00000000	429.3000000	0.00000000	0.00000000	0.0000000	342.20	2.69E-05	533.37	3.51E-05	
25	Bromine	Br2	7726-95-6	159.808	179400.00000000	-667.1100000	1.07010000	0.00000000	0.0000000	265.90	7.77E-06	331.90	7.59E-06	
26	Bromobenzene	C6H5Br	108-86-1	157.008	121600.00000000	-9.4500000	0.35800000	0.00000000	0.0000000	293.15	1.50E-05	495.08	2.05E-05	
27	Bromoethane	C2H5Br	74-96-4	108.965	94364.00000000	-109.1200000	0.44032000	0.00000000	0.0000000	160.00	8.82E-06	320.00	1.05E-05	
28	Bromomethane	CH3Br	74-83-9	94.939	129730.00000000	-596.5400000	2.16000000	-0.00242340	0.0000000	184.45	7.80E-06	276.71	7.87E-06	
29	1,2-Butadiene	C4H6	590-19-2	54.09	135150.00000000	-311.1400000	0.97007000	-0.00015230	0.0000000	136.95	1.10E-05	290.00	1.23E-05	
30	1,3-Butadiene	C4H6	106-99-0	54.09	128860.00000000	-323.1000000	1.01500000	0.00003200	0.0000000	165.00	1.03E-05	350.00	1.41E-05	
31	Butane	C4H10	106-97-8	58.122	191030.00000000	-1675.0000000	12.50000000	-0.03874000	0.0000461	134.86	1.13E-05	400.00	2.22E-05	
34	1-Butanol	C4H10O	71-36-3	74.122	191200.00000000	-730.4000000	2.29980000	0.00000000	0.0000000	183.85	1.35E-05	391.90	2.58E-05	
35	2-Butanol	C4H10O	78-92-2	74.122	426790.00000000	-3694.6000000	13.82800000	-0.01350000	0.0000000	158.45	1.35E-05	372.90	2.72E-05	
36	1-Butene	C4H8	106-98-9	56.106	182050.00000000	-1611.0000000	11.96300000	-0.03745400	0.0000450	87.80	1.10E-05	380.00	1.81E-05	
37	cis-2-Butene	C4H8	590-18-1	56.106	126680.00000000	-65.4700000	-0.64000000	0.00291200	0.0000000	134.26	1.13E-05	350.00	1.50E-05	
38	trans-2-Butene	C4H8	624-64-6	56.106	112760.00000000	-104.7000000	0.52140000	0.00000000	0.0000000	167.62	1.10E-05	274.03	1.23E-05	
39	Butyl acetate	C6H12O2	123-86-4	116.158	111850.00000000	384.5200000	0.00000000	0.00000000	0.0000000	298.15	2.26E-05	399.26	2.65E-05	
40	Butylbenzene	C10H14	104-51-8	134.218	182470.00000000	-13.9120000	0.72897000	0.00000000	0.0000000	185.30	2.05E-05	400.00	2.94E-05	
41	Butyl mercaptan	C4H10S	109-79-5	90.187	232190.00000000	-804.3500000	2.70630000	-0.00230170	0.0000000	157.46	1.64E-05	390.00	1.94E-05	
42	sec-Butyl mercaptan	C4H10S	513-53-1	90.187	197890.00000000	-491.5400000	1.72190000	-0.00124990	0.0000000	133.02	1.60E-05	370.00	1.88E-05	
43	1-Butyne	C4H6	107-00-6	54.09	136340.00000000	-300.4000000	1.02160000	0.00000000	0.0000000	147.43	1.14E-05	298.15	1.38E-05	
44	Butyraldehyde	C4H8O	123-72-8	72.106	65682.00000000	1329.1000000	-7.15790000	0.01275500	0.0000000	176.75	1.47E-05	300.00	1.65E-05	
45	Butyric acid	C4H8O2	107-92-6	88.105	237700.00000000	-746.4000000	1.82900000	0.00000000	0.0000000	267.95	1.69E-05	436.42	2.60E-05	
46	Butyronitrile	C4H7N	109-74-0	69.105	104000.00000000	174.0000000	0.00000000	0.00000000	0.0000000	161.25	1.32E-05	390.75	1.72E-05	
47	Carbon dioxide	CO2	124-38-9	44.01	-8304300.00000000	104370.0000000	-433.33000000	0.60052000	0.0000000	220.00	7.83E-06	290.00	1.66E-05	
48	Carbon disulfide	CS2	75-15-0	76.141	85600.00000000	-122.0000000	0.56050000	-0.00145200	0.0000020	161.11	7.58E-06	552.00	1.31E-05	
