CAS	IGNITION_DELAY
1003-30-1	0.00799
104-51-8	0.02937
106-70-7	0.0093
107-83-5	0.00621
108-08-7	0.0078
108-10-1	0.03027
108-87-2	0.00982
108-94-1	0.03279
109-99-9	0.01136
110-54-3	0.0043
110-82-7	0.0132
110-83-8	0.01596
111-66-0	0.00525
119-64-2	0.06714
1191-99-7	0.01342
123-51-3	0.0285
124-11-8	0.00401
127-91-3	0.01281
138-86-3	0.01473
142-68-7	0.00553
142-82-5	0.00386
1678-91-7	0.00595
1708-29-8	0.02063
1839-63-0	0.00714
2052-15-5	0.02393
2234-75-5	0.00978
292-64-8	0.01128
3208-16-0	0.04867
4466-24-4	0.02873
464-06-2	0.02961
534-22-5	0.06034
539-82-2	0.01515
540-84-1	0.01769
565-59-3	0.01152
565-80-0	0.01781
589-81-1	0.0046
592-27-8	0.00388
592-41-6	0.00904
592-76-7	0.00669
592-98-3	0.00592
617-78-7	0.0063
624-24-8	0.02788
625-86-5	0.04202
71-36-3	0.03429
75-83-2	0.00982
75-85-4	0.03214
764-13-6	0.01268
78-70-6	0.02967
78-78-4	0.01007
78-79-5	0.02794
78-83-1	0.07536
78-92-2	0.07536
80-56-8	0.01473
95-63-6	0.06714
96-22-0	0.01147
96-37-7	0.01733
96-41-3	0.04126
96-47-9	0.01206
