CAS	RON	MON
2370-12-9	99.3	86.8
3454-07-7	107	93.4
4038-04-4	95.8	82
4041-09-2	105.2	100
4810-09-7	69.3	67.2
5465-09-8	100.4	89.3
6094-02-6	89.9	78.9
6137-03-7	98.2	91.1
7379-12-6	98.2	99.6
3404-71-5	91.9	78.7
556-82-1	93.5	73.5
589-34-4	49.4	55.1
590-35-2	85.5	95.1
626-38-0	109.5	102.1
637-78-5	111.6	110.4
100-41-4	112	97.8
100-42-5	111.1	102.3
100-51-6	110.5	97
100-52-7	119.6	111.7
100-66-3	100	91.8
1003-30-1	81.9	65.9
1003-38-9	90.9	80.1
101186-01-0	105.5	93.6
1014-60-4	121.3	104.2
10141-72-7	84.1	71.2
103-65-1	108.4	98.2
103-73-1	96.6	89.7
104-45-0	94.3	86.4
104-51-8	104.4	95.5
104-55-2	111.8	100.4
104-72-3	-28	-12.2
104-93-8	100.7	91.4
105-05-5	109.6	97.6
105-21-5	102.5	93.9
105-30-6	92.6	82.9
105-37-3	113.8	110.8
105-42-0	98.3	99
105-46-4	111.7	109.5
105-54-4	111.9	105.1
105-58-8	103.3	92.4
105-66-8	89.1	84
105-67-9	110	95.2
10504-04-8	100.6	87.6
10574-37-5	96	80
10599-57-2	101.3	86.7
10599-58-3	101.9	85.5
106-35-4	90.2	89.1
106-36-5	101.2	98.9
106-42-3	115.8	112.7
106-44-5	112.1	97.9
106-70-7	89.1	84
106-97-8	96	89.8
106-98-9	97.4	80
1067-08-9	83.7	88.8
1067-20-5	83.1	91.8
1068-19-5	65	78.9
1068-87-7	103.9	94.5
1069-53-0	90.9	88.9
107-01-7	98.6	82.9
107-02-8	107.7	94.7
107-31-3	118.4	117.7
107-39-1	104.9	86.9
107-40-4	103	86.7
107-83-5	71.2	72.8
107-87-9	106.4	101.3
1070-87-7	107.3	97.4
1071-26-7	52	61.8
1072-05-5	37.2	41.3
1074-17-5	101.9	91.1
1074-43-7	109.6	97.6
1074-55-1	109.6	97.6
108-08-7	84.3	83.2
108-10-1	103.1	104.7
108-11-2	100.7	91.6
108-20-3	103.3	87.7
108-21-4	114.3	120.1
108-29-2	100.7	90.1
108-38-3	115.8	112.7
108-39-4	112.1	97.9
108-64-5	109.4	103.4
108-67-8	116.6	120
108-83-8	89.8	89.6
108-84-9	109.4	101.3
108-87-2	78.2	71.3
108-88-3	116.5	104.1
108-94-1	98.9	87.9
108-95-2	113.5	100.2
109-60-4	107.6	103.5
109-66-0	60.4	62.9
109-67-1	90.7	77.5
109-68-2	96.5	81.6
109-94-4	116.6	119.6
109-99-9	85.6	71.3
110-00-9	103.9	91.1
110-12-3	98.2	99.6
110-19-0	104.7	110.4
110-45-2	103.7	96.1
110-54-3	27.2	27.8
110-74-7	110.4	103.5
110-82-7	86.8	77
110-83-8	87.4	65.1
111-66-0	32.3	35.8
111-67-1	57.3	57.5
1120-72-5	103.9	93.6
115-07-1	101.1	84.4
115-11-7	102.1	84.3
115-18-4	101.5	95.5
1185-33-7	103.3	87.6
1186-53-4	117.4	108.8
119-64-2	99.5	87.9
1191-99-7	96.4	83.9
1193-47-1	100.8	91.6
120-92-3	101.5	89.7
123-19-3	90.2	89.1
123-38-6	111.8	105.4
123-51-3	99.5	87.8
123-72-8	107.8	99.6
123-73-9	108.2	95.8
123-86-4	101.2	98.9
123-92-2	101.4	96.2
124-11-8	9.5	21.4
127-91-3	87.2	79.7
13151-04-7	69.3	67.2
13151-05-8	74.9	70.6
13151-49-0	83.4	83
