CAS	Chemical	dipole_moment
56-23-5	tetrachloromethane	0
60-29-7	diethyl ether	1.3
62-53-3	benzeneamine (aniline)	1.6
64-17-5	ethanol	1.7
64-18-6	methanoic acid (formic acid)	1.5
64-19-7	ethanoic acid (acetic acid)	1.3
67-56-1	methanol	1.7
67-63-0	2-propanol	1.7
67-64-1	propanone (acetone)	2.9
67-66-3	trichloromethane	1.1
71-23-8	1-propanol	1.7
71-36-3	1-butanol	1.8
71-41-0	1-pentanol	1.7
71-43-2	benzene	0
74-82-8	methane	0
74-84-0	ethane	0
74-85-1	ethene (ethylene)	0
74-86-2	ethyne (acetylene)	0
74-87-3	chloromethane	1.9
74-89-5	methanamine (methyl amine)	1.3
74-93-1	methanethiol (methyl mercaptan)	1.3
74-96-4	bromoethane	2
74-98-6	propane	0
74-99-7	1-propyne (methyl acetylene)	0.7
75-00-3	chloroethane	2
75-04-7	ethanamine (ethyl amine)	1.3
75-08-1	ethanethiol (ethyl mercaptan)	1.6
75-09-2	dichloromethane	1.8
75-10-5	difluoromethane	2
75-18-3	2-thiapropane (dimethylsulfide)	1.5
75-19-4	cyclopropane	0
75-28-5	2-methylpropane	0.1
75-34-3	1,1-dichloroethane	2
75-37-6	1,1-difluoroethane (R-152a)	2.3
75-38-7	1,1-difluoroethene	1.4
75-43-4	dichlorofluoromethane	1.3
75-45-6	chlorodifluoromethane (R-22)	1.4
75-46-7	trifluoromethane (R-23)	1.6
75-50-3	N, N-dimethylmethanamine (trimethyl amine)	0.6
75-52-5	nitromethane	3.1
75-61-6	dibromodifluoromethane	0.7
75-63-8	bromotrifluoromethane	0.7
75-65-0	2-methyl-2-propanol (tert-butanol)	1.7
75-68-3	1-chloro-1,1-difluoroethane	2.1
75-69-4	trichlorofluoromethane (R-11)	0.5
75-71-8	dichlorodifluoromethane (R-12)	0.5
75-72-9	chlorotrifluoromethane	0.5
75-73-0	tetrafluoromethane	0
75-85-4	2-methyl-2-butanol	1.9
76-14-2	1,2-dichloro-1,1,2,2-tetrafluoroethane	0.5
76-15-3	1-chloro-1,1,2,2,2-pentafluoroethane	0.3
76-16-4	hexafluoroethane	0
76-19-7	octafluoropropane (R-218)	0
78-78-4	2-methylbutane	0.1
78-81-9	2-methyl-1-propanamine (isobutyl amine)	1.2
78-83-1	2-methyl-1-propanol (isobutanol)	1.7
78-86-4	2-chlorobutane	2.1
78-92-2	2-butanol (sec-butanol)	1.7
78-93-3	butanone (methyl ethyl ketone)	3.3
79-09-4	propanoic acid	1.5
79-20-9	methyl ethanoate (methyl acetate)	1.7
79-29-8	2,3-dimethylbutane	0.2
79-31-2	2-methylpropanoic acid	1.3
85-01-8	phenanthrene	0
90-12-0	1-methylnaphthalene	0.5
91-20-3	naphthalene	0
91-22-5	quinoline	2.3
91-57-6	2-methylnaphthalene	0.4
92-52-4	1,1 ⬘-biphenyl	0
92-94-4	1,4-diphenylbenzene	0.7
95-47-6	1,2-dimethylbenzene (o-xylene)	0.5
95-48-7	2-methylphenol (o-cresol)	1.6
95-65-8	3,4-dimethylphenol (3,4 xylenol)	1.7
95-87-4	2,5-dimethylphenol (2,5 xylenol)	1.5
95-93-2	1,2,4,5-tetramethylbenzene	0
96-22-0	3-pentanone (diethyl ketone)	2.7
96-37-7	methylcyclopentane	0
97-62-1	ethyl 2-methylpropanoate	2.1
98-82-8	1-methylethylbenzene (cumene)	0.8
99-87-6	1-(1-methylethyl)-4-methylbenzene	0
100-41-4	ethylbenzene	0.4
100-51-6	benzyl alcohol	1.7
101-81-5	diphenylmethane	0.4
104-51-8	butylbenzene	0.4
104-76-7	2-ethyl-1-hexanol	1.8
105-05-5	1,4-diethylbenzene	0.1
105-37-3	ethyl propanoate	1.8
105-54-4	ethyl butanoate	1.8
105-66-8	propyl butanoate	1.8
105-67-9	2,4-dimethylphenol (2,4 xylenol)	2
106-36-5	propyl propanoate	1.8
106-42-3	1,4-dimethylbenzene ( p-xylene)	0.1
106-44-5	4-methylphenol ( p-cresol)	1.6
106-93-4	1,2-dibromoethane	1
106-97-8	butane	0
106-98-9	1-butene	0.3
106-99-0	1,3-butadiene	0
107-00-6	1-butyne	0.8
107-06-2	1,2-dichloroethane	1.8
107-10-8	1-propanamine (propyl amine)	1.3
107-31-3	methyl methanoate (methyl formate)	1.8
107-83-5	2-methylpentane	0.1
107-87-9	2-pentanone (methyl propyl ketone)	2.5
107-92-6	butanoic acid	1.5
108-08-7	2,4-dimethylpentane	0
108-10-1	4-methyl-2(methyl isobutyl ketone)	2.8
108-24-7	acetic anhydride	3
