CAS	MON
100-40-3	57.7
100-66-3	91
1003-38-9	80.2
1003-64-1	70.6
101316-43-2	99.3
103-65-1	98.7
104-51-8	94.25
105-05-5	93.9
10574-36-4	80
10574-37-5	80
106-70-7	84
1067-08-9	88.7
1067-20-5	91.6
1068-87-7	96.6
107-01-7	83.5
107-40-4	86.2
107-87-9	103.27
1074-17-5	92.2
1074-43-7	100
108-08-7	83.8
108-20-3	98.9
108-38-3	102.8
108-67-8	112
108-87-2	71.05
109-21-7	90.7
110-00-9	91.6
11071-47-9	62.6
111002-96-1	35
115-18-4	95
1191-96-4	83.9
120-92-3	89.4
123-19-3	89.1
123-66-0	74.7
123-86-4	100.2
123-92-2	97.2
13020-06-9	93
13151-17-2	81.2
13151-55-8	30
1320-76-9	90.3
1335-86-0	71.95
13475-81-5	92.4
137-32-6	87.9
14072-86-7	79.8
142-29-0	69.7
142-68-7	35.4
142-82-5	0
1453-24-3	70.5
14850-22-7	68.1
15840-60-5	82
15870-10-7	66.3
15910-22-2	87.5
1636-39-1	9.7
1638-26-2	89.3
1640-89-7	61.2
16746-86-4	83.6
16747-32-3	99.5
1678-81-5	81
1678-91-7	40.8
1678-92-8	14
170082-17-4	89
1758-88-9	96
1759-58-6	72.6
1795-27-3	56.4
18923-87-0	82.2
1942-45-6	65.9
19780-66-6	85.3
19780-67-7	82
203319-65-7	78.7
2040-95-1	2
2040-96-2	28.1
20488-34-0	80.4
2049-95-8	96.8
2146-37-4	66.6
2146-38-5	72
2207-01-4	78.6
2207-03-6	64.2
2207-04-7	62.2
24979-97-3	64.8
25012-93-5	77.2
25068-26-2	80.9
2511-95-7	85.7
25167-70-8	86.5
25265-68-3	73
2532-58-3	73.1
25512-65-6	48.7
25551-13-7	101.1
25619-60-7	100
25719-60-2	60.3
2613-72-1	79.5
26447-41-6	60.5
26702-69-2	81.2
26760-64-5	81.9
26912-33-4	86.1
26967-64-6	55.2
27137-41-3	86
27195-67-1	85.9
27216-28-0	81.9
2738-19-4	78.9
27416-06-4	82.8
28777-67-5	23.8
291-64-5	39.7
292-64-8	58.2
29222-48-8	77.4
29224-55-3	91.9
29299-43-2	78.1
29797-09-9	53
30285-07-5	80.8
30498-63-6	87.7
30677-34-0	76.7
3073-66-3	83.6
3178-22-1	89.2
31797-64-5	85.1
32073-03-3	51.5
3404-57-7	82
3404-72-6	84.2
3404-73-7	86.1
3494-45-9	92
3524-73-0	64
3524-75-2	45.6
3638-35-5	88.1
36383-15-0	95.7
3683-19-0	83
3742-34-5	54.3
3769-23-1	74
3788-32-7	28.2
3875-51-2	76.2
38815-29-1	46.4
4038-04-4	81.6
4127-45-1	87.8
4127-47-3	90.1
