CAS	RON
98-06-6	103
97-64-3	107.5
97-62-1	110.3
96-22-0	106.8
96-14-0	74.5
95-36-3	108.6
934-74-7	102.7
933-60-8	100.8
933-12-0	95.5
930-18-7	100.4
922-62-3	97.2
90622-56-3	65.2
90530-12-4	101.8
9016-80-2	92.7
9006-04-6	99.05
9003-41-2	100.1
9002-88-4	97.3
88448-74-2	89.8
874-41-9	100.6
868-57-5	110.5
816-79-5	93.7
8000-48-4	99.2
79-29-8	104.3
78-93-3	105.3
768-49-0	100.5
7667-60-9	73
7642-10-6	89.8
7642-09-3	94
7642-04-8	56.3
764-13-6	94.3
763-29-1	94.2
762-63-0	100.5
760-21-4	99.3
75-83-2	91.8
75-28-5	102.05
7493-04-1	83.9
74806-04-5	73.5
7385-78-6	98.9
7357-93-9	97
73548-72-8	71.3
71551-80-9	102.3
7154-80-5	86.4
7154-79-2	99.1
7154-75-8	91.3
7145-20-2	93.1
71329-38-9	109
71-31-8	104
70955-17-8	107
70913-86-9	111
696-29-7	62.8
695-12-5	64.3
694-35-9	90.8
690-93-7	106
690-92-6	100.7
690-08-4	105.3
68989-27-5	105
68956-54-7	99.6
68814-91-5	87.9
6876-13-7	77.7
68650-36-2	103.4
68647-60-9	61.8
68584-01-0	103
68527-00-4	28.7
68514-38-5	97.1
68514-31-8	94
68476-56-2	100.6
68476-44-8	24.8
68441-35-0	103
68411-84-7	120
64742-49-0	73.4
6443-92-1	73.2
6423-06-9	98.8
63730-38-1	82.2
63335-87-5	39.8
63072-44-6	101.9
62851-51-8	104.4
628-41-1	75.4
627-97-4	83.6
627-58-7	90.2
625-86-5	101.3
625-65-0	100
624-24-8	103.4
620-14-4	101.8
619-99-8	33.5
61788-35-0	97.5
617-78-7	65
61593-45-1	57.6
611-14-3	100.2
6094-02-6	90.7
609-26-7	87.3
598-96-9	103
598-25-4	61
594-56-9	100.5
594-11-6	100.2
592-99-4	73.15
592-98-3	72.5
592-76-7	54.5
592-42-7	71.1
592-13-2	55.2
59139-36-5	97.8
591-47-9	84.1
590-35-2	92.8
589-53-7	26.7
589-34-4	52
58718-78-8	87.8
584-94-1	71.3
584-02-1	103
583-48-2	76.3
58147-69-6	89.7
57643-00-2	93.5
5685-47-2	95.1
56573-11-6	100.3
565-80-0	99
565-77-5	96.6
565-75-3	100.2
565-59-3	91.1
564-02-3	109.6
563-80-4	99.5
563-79-1	97.4
563-16-6	75.5
562-49-2	80.8
560-23-6	106
560-21-4	106.1
5593-70-4	98
558-37-2	111.7
542-41-6	76.4
540-84-1	100
538-93-2	101.6
538-68-1	89.2
5310-57-6	91.3
52937-63-0	100.3
527-84-4	100.6
513-81-5	99.2
513-35-9	97.3
51000-78-3	99.4
50819-07-3	99.2
50643-04-4	118.17
503-45-7	96.5
