CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
50-21-5	17000.0	8300.0	28400.0
50-67-9	18000.0	8200.0	14400.0
50-78-2	19000.0	6600.0	9300.0
51-17-2	20600.0	14900.0	11000.0
51-61-6	18200.0	10300.0	19500.0
51-68-3	16000.0	6200.0	9000.0
51-79-6	16800.0	10100.0	13000.0
55-21-0	21200.0	14700.0	11200.0
55-63-0	16200.0	17800.0	5900.0
56-81-5	17400.0	12100.0	29300.0
57-11-4	16300.0	3300.0	5500.0
60-12-8	19000.0	5800.0	12800.0
60-29-7	14500.0	2900.0	5100.0
60-34-4	16200.0	8700.0	14800.0
62-53-3	19400.0	5100.0	10200.0
62-55-5	17500.0	20600.0	20200.0
62-56-6	20000.0	21700.0	14800.0
63-74-1	20000.0	19500.0	10700.0
64-17-5	15800.0	8800.0	19400.0
64-19-7	14500.0	8000.0	13500.0
64-67-5	15700.0	14700.0	7100.0
65-85-0	18200.0	6900.0	9800.0
66-25-1	15800.0	8500.0	5400.0
66-81-9	18300.0	11000.0	13800.0
67-63-0	15800.0	6100.0	16400.0
67-64-1	15500.0	10400.0	7000.0
67-66-3	17800.0	3100.0	5700.0
67-68-5	18400.0	16400.0	10200.0
67-72-1	22000.0	4700.0	0.0
68-11-1	16000.0	8600.0	14800.0
68-12-2	17400.0	13700.0	11300.0
69-72-7	19400.0	10100.0	17400.0
71-23-8	16000.0	6800.0	17400.0
71-36-3	16000.0	5700.0	15800.0
71-41-0	15900.0	5900.0	13900.0
71-55-6	16800.0	4300.0	2000.0
74-83-9	17000.0	8800.0	2600.0
74-87-3	15300.0	6100.0	3900.0
74-88-4	17500.0	7700.0	5300.0
74-89-5	13000.0	7300.0	17300.0
74-95-3	17800.0	6400.0	7000.0
74-96-4	16500.0	8400.0	2300.0
74-97-5	17300.0	5700.0	3500.0
74-99-7	15100.0	3800.0	9200.0
75-00-3	15700.0	6100.0	2900.0
75-01-4	16000.0	6500.0	2400.0
75-02-5	15200.0	7000.0	1000.0
75-04-7	15000.0	5600.0	10700.0
75-05-8	15300.0	18000.0	6100.0
75-07-0	14700.0	12500.0	7900.0
75-08-1	15700.0	6500.0	7100.0
75-18-3	16100.000000000002	6400.0	7400.0
75-25-2	21400.0	4100.0	6100.0
75-26-3	16100.000000000002	8300.0	4700.0
75-29-6	15900.0	8300.0	2100.0
75-33-2	16300.0	6800.0	6500.0
75-35-4	16400.0	5200.0	2400.0
75-36-5	16200.0	11200.0	5800.0
75-38-7	15000.0	6800.0	3600.0
75-44-5	16400.0	5300.0	5300.0
75-47-8	20200.0	3600.0	10600.0
75-50-3	14600.0	3400.0	1800.0
