CAS	RG
100-18-5	5.178e-10
100-21-0	4.162787e-10
100-37-8	4.407e-10
100-41-4	3.897e-10
100-42-5	3.81e-10
100-66-3	3.719e-10
10024-97-2	9.537e-11
10028-15-6	1.544e-10
10034-85-2	1.418e-11
10102-43-9	5.488e-11
10102-44-0	1.431e-10
102-09-0	4.600808e-10
102-71-6	5.219e-10
103-65-1	4.344e-10
104-51-8	4.849e-10
105-05-5	4.58e-10
105-59-9	4.366e-10
10544-72-6	2.918e-10
10544-73-7	2.346e-10
106-35-4	4.539e-10
106-42-3	3.831e-10
106-44-5	3.762e-10
106-46-7	4.149e-10
106-50-3	3.733e-10
106-97-8	2.886e-10
106-98-9	2.762e-10
106-99-0	2.602e-10
1067-08-9	3.928e-10
1067-20-5	4.314e-10
107-00-6	2.616e-10
107-03-9	2.88328e-10
107-06-2	2.827e-10
107-12-0	2.652e-10
107-13-1	2.464e-10
107-15-3	2.7605e-10
107-21-1	2.564e-10
107-31-3	2.387e-10
107-83-5	3.784e-10
107-87-9	3.618e-10
107-92-6	3.61e-10
1070-87-7	4.86e-10
1071-26-7	4.845e-10
1074-43-7	4.794e-10
1074-55-1	4.599e-10
108-01-0	3.46249e-10
108-03-2	3.359e-10
108-05-4	2.969e-10
108-08-7	3.931e-10
108-10-1	3.828e-10
108-18-9	3.806e-10
108-20-3	3.906e-10
108-21-4	3.679e-10
108-24-7	3.579e-10
108-31-6	3.312e-10
108-32-7	3.413e-10
108-38-3	3.937e-10
108-39-4	3.87e-10
108-67-8	4.375e-10
108-83-8	4.614e-10
108-86-1	3.466e-10
108-87-2	3.643e-10
108-88-3	3.472e-10
108-90-7	3.603e-10
108-93-0	3.601e-10
108-94-1	3.511e-10
108-95-2	3.415e-10
109-60-4	3.969e-10
109-66-0	3.337e-10
109-67-1	3.231e-10
109-83-1	3.035e-10
109-87-5	2.891e-10
109-89-7	3.172e-10
109-94-4	2.963e-10
109-99-9	2.694e-10
110-02-1	2.781e-10
110-06-5	4.686e-10
110-12-3	4.329e-10
110-16-7	4.221e-10
110-19-0	4.276e-10
110-43-0	4.498e-10
110-54-3	3.769e-10
110-62-3	3.516e-10
110-63-4	3.582e-10
110-74-7	3.364e-10
110-81-6	3.615e-10
110-82-7	3.242e-10
110-83-8	3.157e-10
110-85-0	3.035e-10
110-86-1	2.938e-10
110-97-4	4.694e-10
111-01-3	1.147e-09
111-27-3	4.144e-10
111-31-9	4.252e-10
111-34-2	3.806e-10
111-40-0	3.865e-10
111-41-1	3.821e-10
111-42-2	3.907e-10
111-46-6	3.739e-10
111-47-7	4.089e-10
111-65-9	4.546e-10
111-66-0	4.457e-10
111-70-6	4.38e-10
111-71-7	4.314e-10
111-84-2	4.814e-10
112-27-6	4.71e-10
112-40-3	5.914e-10
112-60-7	5.602e-10
112-95-8	8.364e-10
1120-21-4	5.496e-10
115-07-1	2.2311e-10
115-10-6	2.154e-10
115-11-7	2.875e-10
118-90-1	4.387e-10
118-96-7	5.914e-10
1186-53-4	4.16e-10
1192-18-3	3.617e-10
120-61-6	5.394e-10
120-82-1	4.832e-10
121-14-2	5.07e-10
121-44-8	3.73e-10
123-19-3	4.567e-10
123-38-6	2.6241e-10
123-72-8	3.185e-10
123-86-4	4.28e-10
123-91-1	3.017e-10
124-04-9	4.976e-10
124-11-8	4.873e-10
124-18-5	5.148e-10
124-38-9	1.04e-10
126-33-0	3.309e-10
126-98-7	3.172e-10
