CAS	Tm	Tb	Vms	Vml
100-00-5	356.15	515.15	0.00010365132	
100-01-6	419.15	605.15	9.6994382e-05	
100-02-7	386.65	552.15	9.274e-05	
100-03-8	372.15			
100-05-0	508.65			
100-06-1	311.65	531.15		0.00013881494
100-07-2	297.65	535.65	0.00013528152	
100-09-4	458.15	549.65		
100-10-7	347.65	449.65		
100-11-8	372.15			
100-12-9	260.85	518.65		0.0001346517
100-13-0	291.65			
100-14-1	344.15	344.65		
100-15-2	425.15			
100-16-3	431.15			
100-17-4	327.15	547.15		0.00012674005
100-18-5	256.05	483.45		0.00018939076
100-19-6	354.95	438.15		
100-20-9	356.15	532.15		
100-21-0	675.15		0.00011001987	
100-22-1	324.15	533.15		
100-23-2	437.15			
100-25-4	447.15	570.15	0.00010345231	
100-26-5	527.15	509.15		
100-27-6	336.15	450.15		
100-28-7	330.15	436.15		
100-29-8	333.15	556.15		0.00014957051
100-31-2	626.15			
100-32-3	454.15			
100-34-5	467.15			
100-35-6	447.15		0.00014798167	
100-36-7	458.15	417.15		
100-37-8	203.15	436.15		0.0001313642
100-38-9				0.00015227974
100-39-0	270.15	474.15		9.8406214e-05
100-40-3	164.25	401.15		0.00013035305
100-41-4	178.25	409.25		0.00012245675
100-42-5	242.15	418.15		0.00011495585
100-43-6				0.00010728571
100-44-7	228.15	452.15		0.00011507273
100-45-8				0.00011214024
100-46-9	283.15	458.15		0.00010900305
100-47-0	260.05	463.85		0.00010209901
100-48-1	352.15	486.65		
100-49-2	230.15	456.15		0.00012089995
100-50-5	275.15	378.15		0.00011362699
100-51-6	257.95	478.45		0.00010379115
100-52-7	247.15	452.15		0.00010106667
100-53-8	243.15	467.65		0.00011828571
100-54-9	324.15	480.05	8.9827437e-05	
100-55-0	266.65	539.15		
100-56-1	524.15			
100-57-2	463.15			
100-58-3	426.65			
100-59-4	362.65			
100-60-7		420.15		
100-61-8	216.15	469.4		0.00010834176
100-62-9	473.15			
100-63-0	292.65	344.95		
100-64-1	362.65	481.15	0.00011546939	
100-65-2	355.15			
100-66-3	235.85	428.65		0.00010861792
100-67-4	376.65			
100-68-5	400.15	466.15	0.00011791512	
100-69-6		432.65		
100-70-9	302.15	497.65	9.6308973e-05	
100-71-0	210.05	421.75		0.00011490617
100-72-1		458.15		
100-73-2	143.15			9.5316219e-05
