CAS	ID	name	Tc	Pc	Vc	Tt	Pt	Tb	omega
60-29-7	DEE	Diethyl ether	466.7	3720200	0.000280763636662	156.92		307.604401817	0.29
64-17-5	ethanol	Ethyl alcohol	514.71	6268000	0.000168634064081	159	0.000718458094809	351.570441659	0.646
67-56-1	methanol	Methanol	513.38	8215850	0.000113828190007	175.61	0.186349762324	337.632383296	0.5625
67-64-1	acetone	Propanone	508.1	4692400	0.000212765957447	178.5	2.32648336878	329.224922705	0.3071
71-43-2	benzene	Benzene	562.02	4907277	0.000256344527044	278.674	4784.60513165	353.218780053	0.211
74-82-8	methane	Methane	190.564	4599200	9.86278109912e-05	90.6941	11696.0641152	111.667205474	0.01142
74-84-0	ethane	Ethane	305.322	4872200	0.000145838781642	90.368	1.14210811513	184.568587832	0.0995
74-85-1	ethylene	Ethene	282.35	5041800	0.000130945481716	103.986	121.961941966	169.378648434	0.0866
74-86-2	acetylene	Ethyne	308.3	5988200	0.000113250283126	191.75	123522.571009		0.178
74-87-3	R40	Methyl chloride	416.3	6689900	0.000139000224207	175.51		249.172719466	0.15
74-98-6	propane	Propane	369.89	4251200	0.0002	85.525	0.000172045929065	231.03624791	0.1521
74-99-7	propyne	Propyne	402.38	5626000	0.000163576970326	170.5			0.204
75-01-4	VINYLCHLORIDE	Chloroethylene	424.964	5590300	0.00017793594306	119.31		259.443334914	0.161
75-10-5	R32	Difluoromethane	351.255	5782000	0.000122698112851	136.34	47.9998290067	221.498682446	0.2769
75-19-4	CYCLOPRO	Cyclopropane	398.3	5579700	0.000162789167078	145.7			0.1305
75-21-8	ETHYLENEOXIDE	Ethylene oxide	468.92	7304700	0.000139470013947	160.654	8.25640760363	283.659556124	0.21
75-28-5	ISOBUTAN	2-Methylpropane	407.81	3629000	0.000257748115318	113.73	0.0228906269423	261.401014643	0.184
75-37-6	R152a	1,1-Difluoroethane	386.411	4516750	0.000179486489155	154.56	64.1375116953	249.128130883	0.27521
75-43-4	R21	Dichlorofluoromethane	451.48	5181200	0.000195665400894	142.8		282.012083591	0.2061
75-45-6	R22	Chlorodifluoromethane	369.295	4990000	0.000165064986085	115.73	0.379467382223	232.339654101	0.22082
75-46-7	R23	Trifluoromethane	299.293	4832000	0.000132978723404	118.02	58.0409091699	191.132161572	0.263
75-56-9	PROPYLENEOXIDE	1,2-Epoxypropane	488.11	5436600	0.000193986420951	161.244	1.05528138434	307.268173727	0.249
75-68-3	R142b	1-Chloro-1,1-difluoroethane	410.26	4055000	0.000225326723749	142.72	3.6326463866	264.026767087	0.2321
75-69-4	R11	Trichlorofluoromethane	471.11	4407638	0.000247956712709	162.68	6.51005055572	296.858242782	0.18875
75-71-8	R12	Dichlorodifluoromethane	385.12	4136100	0.000214005321456	116.099	0.242549855288	243.397745607	0.17948
75-72-9	R13	Chlorotrifluoromethane	302	3879000	0.000179211469534	92	0.328882544705	191.673765659	0.1723
75-73-0	R14	Tetrafluoromethane	227.51	3750000	0.000140658462209	89.54		145.104930174	0.1785
75-83-2	22DIMETHYLBUTANE	2,2-Dimethylbutane	490	3138000	0.000359712230216	174.2	4.88864972421	322.84553797	0.23
76-13-1	R113	1,1,2-Trichloro-1,2,2-trifluoroethane	487.21	3392200	0.000334598226161	236.93	1871.42496019	320.735216184	0.25253
76-14-2	R114	1,2-Dichloro-1,1,2,2-tetrafluoroethane	418.83	3257000	0.000294707061181	180.63		276.741634099	0.2523
76-15-3	R115	Chloropentafluoroethane	353.1	3129000	0.000251256281407	173.75	2213.82020104	233.931840282	0.248
76-16-4	R116	Hexafluoroethane	293.03	3048000	0.00022502250225	173.1	26083.6958806	195.058400678	0.2566
76-19-7	R218	Octafluoropropane	345.02	2640000	0.000299401197605	125.45	2.01857059625	236.361119843	0.3172
78-78-4	IPENTANE	2-Methylbutane	460.35	3378000	0.000305716906145	112.65	8.95273204289e-05	300.976374255	0.2274
79-29-8	23DIMETHYLBUTANE	2,3-Dimethylbutane	500.6	3161000	0.000357142857143	145.05	0.0155897628811	331.176540925	0.247
95-47-6	OXYLENE	1,2-Dimethylbenzene	630.259	3737500	0.000372508847085	247.985	22.8057429252	417.521024789	0.312
96-14-0	3METHYLPENTANE	3-Methylpentane	506	3184500	0.000359712230216	110.263	1.68222622631e-07	336.378933252	0.268
100-41-4	EBENZENE	Phenylethane	617.12	3622400	0.000364828224279	178.2	0.00400295551835	409.314225797	0.305
106-42-3	PXYLENE	1,4-Dimethylbenzene	616.168	3531500	0.000371206271901	286.4	580.084151316	411.470471826	0.324
106-97-8	butane	n-Butane	425.125	3796000	0.000254921929824	134.895	0.665657910438	272.659900526	0.201
106-98-9	1BUTENE	1-Butene	419.29	4005100	0.000235849056604	87.8	5.94529073589e-07	266.844062935	0.192
106-99-0	13BUTADIENE	Buta-1,3-diene	425.135	4305300	0.000220750551876	164.25	69.9215319649	268.661415208	0.192
107-00-6	1BUTYNE	But-1-yne	432	4141600	0.000215053763441	147.44	1.18297347479	281.229870246	0.28
107-06-2	R150	1,2-Dichloroethane	561.6	5226120	0.000230946882217	237.52	239.868243911	356.649574556	0.268
107-21-1	EGLYCOL	1,2-Ethandiol	719	10508700	0.000170068027211	260.6	0.236567463036	470.31348274	0.619
107-46-0	MM	Hexamethyldisiloxane	518.7	1931130	0.000604960677556	204.93	2.95376952509	373.65787095	0.418
107-51-7	MDM	Octamethyltrisiloxane	565.3609	1437500	0.000881834215168	187.2	0.001081544178	425.630489041	0.524
107-52-8	MD4M	Tetradecamethylhexasiloxane	653.2	840370	0.00175438596491	214.15	7.2811492877e-07	532.905313452	0.806
107-83-5	IHEXANE	2-Methylpentane	497.7	3040000	0.00036832412523	119.6	7.67396318599e-06	333.362098623	0.2797
108-38-3	MXYLENE	1,3-Dimethylbenzene	616.89	3534600	0.000375234521576	225.3	3.12326290999	412.214002577	0.326
108-87-2	C1CC6	Methylcyclohexane	572.2	3470000	0.000367647058824	146.7	0.000272662831762	374.009945965	0.234
108-88-3	toluene	Methylbenzene	591.75	4126300	0.000315556958031	178	0.0393934210145	383.745753146	0.2657
108-90-7	chlorobenzene	Chlorobenzene	632.35	4520600	0.000308641975309	227.9	7.14088953862	405.2149481	0.2532
109-66-0	pentane	Pentane	469.7	3367500	0.000311526479751	143.47	0.0780279474319	309.20934582	0.251
109-67-1	1PENTENE	Pent-1-ene	465.74	3598000	0.000289855072464	107.797	1.02078111787e-05	303.101233591	0.233
110-54-3	hexane	Hexane	507.82	3044100	0.000369549150037	177.83	1.18897866218	341.865616634	0.3
110-82-7	CYCLOHEX	Cyclohexane	553.6	4080500	0.00031017369727	279.86	5348.65584682	353.864948368	0.2096
111-42-2	DEA	2,2'-Iminodiethanol	736.5	4950750	0.00030303030303	301.1	0.133958226644	541.234114195	1.013
111-65-9	octane	Octane	568.74	2483590	0.000492368291482	216.37	2.07458598745	398.793755135	0.398
111-84-2	nonane	Nonane	594.55	2281000	0.000552486187845	219.7	0.44448476554	423.913049849	0.4433
112-39-0	MPALMITA	Methyl hexadecanoate	755	1350000	0.00111482720178	242		602.268981859	0.91
112-40-3	C12	Dodecane	658.1	1817000	0.000751879699248	263.6	0.626210004694	489.44158964	0.574
112-61-8	MSTEARAT	Methyl octadecanoate	775	1239000	0.00125897016241	311.84	0.00601093836895	629.557072383	1.02
112-62-9	MOLEATE	Methyl cis-9-octadecenoate	782	1246000	0.00123023928154	253.47	3.78186055594e-07	627.176075261	0.906
112-63-0	MLINOLEA	Methyl (Z,Z)-9,12-octadecadienoate	799	1341000	0.0012370113805	238.1	7.71987280128e-09	628.840641458	0.805
115-07-1	PROPYLEN	Propene	364.211	4555000	0.000183250870442	87.953	0.000747171772355	225.530871246	0.146
115-10-6	DME	Methoxymethane	400.378	5336800	0.00016835016835	131.66	2.21072507344	248.367837876	0.196
115-11-7	IBUTENE	2-Methyl-1-propene	418.09	4009800	0.000239808153477	132.4	0.676188981084	266.145792164	0.193
115-25-3	RC318	Octafluorocyclobutane	388.38	2777500	0.000322645174196	233.35	19460.9397873	267.175469923	0.3553
116-15-4	R1216	Hexafluoropropene	358.9	3149528	0.000257148734828	117.654	0.0935677847829	242.81225466	0.333
124-18-5	decane	Decane	617.7	2103000	0.000609756097561	243.5	1.40418158116	447.270229382	0.4884
