CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
56-23-5	17800.0	0.0	600.0
56-81-5	17400.0	12100.0	29300.0
57-11-4	16300.0	3300.0	5500.0
57-14-7	15300.0	5900.0	11000.0
57-55-6	16800.0	9400.0	23300.0
60-29-7	14500.0	2900.0	5100.0
62-53-3	19400.0	5100.0	10200.0
64-17-5	15800.0	8800.0	19400.0
64-18-6	14300.0	11900.0	16600.0
64-19-7	14500.0	8000.0	13500.0
64-67-5	15700.0	14700.0	7100.0
65-85-0	18200.0	6900.0	9800.0
67-56-1	15100.0	12300.0	22300.0
67-63-0	15800.0	6100.0	16400.0
67-64-1	15500.0	10400.0	7000.0
67-66-3	17800.0	3100.0	5700.0
67-68-5	18400.0	16400.0	10200.0
67-71-0	19000.0	19400.0	12300.0
68-12-2	17400.0	13700.0	11300.0
71-23-8	16000.0	6800.0	17400.0
71-36-3	16000.0	5700.0	15800.0
71-41-0	15900.0	5900.0	13900.0
71-43-2	18400.0	0.0	2000.0
71-55-6	16800.0	4300.0	2000.0
74-87-3	15300.0	6100.0	3900.0
74-96-4	16500.0	8400.0	2300.0
74-97-5	17300.0	5700.0	3500.0
75-00-3	15700.0	6100.0	2900.0
75-05-8	15300.0	18000.0	6100.0
75-07-0	14700.0	12500.0	7900.0
75-08-1	15700.0	6500.0	7100.0
75-09-2	18200.0	6300.0	6100.0
75-11-6	17800.0	3900.0	5500.0
75-12-7	17200.0	26200.0	19000.0
75-15-0	20500.0	0.0	600.0
75-25-2	21400.0	4100.0	6100.0
75-34-3	16500.0	7800.0	3000.0
75-35-4	16400.0	52000.0	24000.0
75-43-4	15800.0	3100.0	5700.0
75-45-6	12300.0	6300.0	5700.0
75-52-5	15800.0	18800.0	5100.0
75-63-8	9600.0	2400.0	0.0
75-65-0	15200.0	5100.0	14700.0
75-69-4	15300.0	2000.0	0.0
75-71-8	12300.0	2000.0	0.0
76-05-1	15600.0	9900.0	11600.0
76-13-1	14700.0	1600.0	0.0
76-14-2	12600.0	1800.0	0.0
77-68-9	15100.0	6100.0	9800.0
78-10-4	13900.0	4300.0	600.0
78-40-0	16700.0	11400.0	9200.0
78-59-1	16600.0	8200.0	7400.0
78-78-4	13700.0	0.0	0.0
78-83-1	15100.0	5700.0	15900.0
78-92-2	15800.0	5700.0	14500.0
78-93-3	16000.0	9000.0	5100.0
79-01-6	18000.0	3100.0	5300.0
79-20-9	15500.0	7200.0	7600.0
79-24-3	16000.0	15500.0	4500.0
79-27-6	22600.0	5100.0	8200.0
79-34-5	18800.0	5100.0	9400.0
79-46-9	16200.0	12100.0	4100.0
80-62-6	15800.0	6500.0	54000.0
84-66-2	17600.0	9600.0	4500.0
84-74-2	17800.0	8600.0	4100.0
85-68-7	19000.0	11200.0	3100.0
90-05-1	18000.0	8200.0	13300.0
90-11-9	20300.0	3100.0	4100.0
90-12-0	20600.0	800.0	4700.0
91-20-3	19200.0	2000.0	5900.0
91-22-5	19400.0	5600.0	5700.0
92-52-4	19700.0	1000.0	2000.0
95-47-6	17800.0	1000.0	3100.0
95-50-1	19200.0	6300.0	3300.0
95-63-6	18000.0	1000.0	1000.0
96-22-0	15800.0	7600.0	4700.0
96-33-3	15300.0	6700.0	9400.0
96-48-0	19000.0	16600.0	7400.0
96-49-1	19400.0	21700.0	5100.0
97-64-3	16000.0	7600.0	12500.0
97-85-8	15100.0	2900.0	5900.0
97-95-0	15800.0	4300.0	13500.0
98-00-0	17400.0	7600.0	15100.0
98-01-1	18600.0	14900.0	5100.0
98-86-2	19600.0	8600.0	3700.0
98-95-3	20000.0	8600.0	4100.0
100-37-8	14900.0	5800.0	12000.0
100-41-4	17800.0	600.0	1400.0
