CAS	dipole_moment
24304-00-5	2.939
22831-39-6	1.5712
10049-06-6	0.7316
1761-67-7	1.8048
4960-86-5	2.2179
1605-72-7	0.6084
38490-24-3	5.6476
7440-66-6	0
420-12-2	1.9657
593-54-4	1.6293
13769-36-3	2.2488
676-55-1	0.0123
22831-42-1	1.1543
16643-15-5	1.8641
13983-20-5	0
6829-52-3	0.7202
27016-73-5	6.2613
151-51-9	3.3696
409-21-2	1.1802
7782-39-0	0
7732-18-5	2.1507
18540-29-9	0
7440-01-9	0
12065-11-1	4.519
74-97-5	2.0001
151-56-4	1.7296
7440-21-3	0
12033-76-0	2.5698
12265-14-4	2.3624
13824-36-7	2.1993
134627-17-1	1.5863
7282-87-3	0.1497
13774-92-0	1.7756
41591-55-3	3.2125
7698-05-7	1.5745
54098-92-9	2.0457
50-00-0	2.8358
7782-44-7	0
12601-93-3	1.9119
20548-54-3	12.9483
12628-09-0	2.9052
3031-73-0	3.198
2465-56-7	1.9466
13463-67-7	7.3723
22541-79-3	0
13569-43-2	2.3785
36336-08-0	2.3083
353-36-6	2.0466
14312-20-0	0.2627
25277-93-4	1.9582
23330-87-2	7.1131
7440-02-0	0
2696-92-6	0.3316
14616-31-0	2.2595
2781-85-3	0.4978
593-75-9	3.3617
37297-57-7	2.3455
6251-26-9	2.2824
157-18-6	2.2342
13595-81-8	2.3239
14127-61-8	0
17242-52-3	1.5778
62064-82-8	2.3731
1449-65-6	0.725
7790-92-3	1.8651
15861-05-9	2.4507
1313-99-1	7.4636
74-96-4	2.3988
12135-07-8	1.5899
6851-93-0	2.1903
13845-23-3	0.7066
12022-99-0	3.4683
3400-09-7	1.7284
12589-02-5	0.719
13965-74-7	0.7819
1603-84-5	1.0149
7440-70-2	0
13768-07-5	2.6838
14067-04-0	0
7647-01-0	1.5623
6725-64-0	2.236
24167-76-8	1.5977
11113-63-6	4.1191
593-67-9	0.6548
7783-06-4	1.4457
12190-75-9	0.5903
14452-59-6	0
7440-59-7	0
36835-58-2	0.2963
1314-05-2	6.1658
22537-22-0	0
1310-53-8	3.0658
12067-45-7	2.2643
1305-84-6	3.6912
676-59-5	1.7033
12124-99-1	3.8925
61183-51-5	2.6679
1333-74-0	0
7664-41-7	1.6175
16603-84-2	2.1049
7782-41-4	0
7783-07-5	1.1369
24646-85-3	8.4895
13597-70-1	1.2525
2944-05-0	2.5669
302-01-2	2.2148
14984-74-8	2.2873
14915-07-2	0
5813-48-9	2.8279
38063-40-0	0.3386
12018-08-5	3.3664
24286-05-3	2.7614
1303-00-0	2.9749
1336-21-6	5.6302
13814-25-0	1.8397
41916-72-7	2.01
14500-84-6	1.5428
12039-13-3	8.198
15438-31-0	0
74-90-8	3.2278
7439-95-4	0
24567-53-1	2.3915
7758-89-6	6.4955
7440-32-6	0
2680-00-4	0.001
506-66-1	3.2796
12045-25-9	5.7183
593-79-3	1.9099
2533-82-6	1.8805
74-83-9	2.1381
14457-85-3	3.8439
12602-39-0	0.805
13775-80-9	2.7701
13768-94-0	2.0042
25617-97-4	1.6499
15454-33-8	0.6548
23713-49-7	0
22755-01-7	4.5999
3129-90-6	2.1076
13587-49-0	1.6909
12434-84-3	5.344
50927-81-6	1.4999
14525-25-8	5.5152
5505-49-7	0.026
7782-65-2	0.063
1455-13-6	1.8082
32038-79-2	2.2219
53844-93-2	1.8309
463-58-1	1.0595
1345-25-1	3.0224
13767-16-3	1.8277
67281-48-5	3.1617
19287-45-7	0
60-34-4	1.6294
5470-11-1	2.4225
19121-56-3	1.8912
12125-02-9	3.427
157-16-4	2.4388
506-68-3	3.1966
463-57-0	3.0623
12045-27-1	5.5721
15697-17-3	9.078
2644-70-4	3.131
4109-96-0	1.1909
31219-53-1	5.1605
64-18-6	2.1018
23058-19-7	0
10545-99-0	0.7895
14940-63-7	2.1677
20901-21-7	2.0402
13444-87-6	0.4091
12251-90-0	1.6242
5188-07-8	4.4426
3618-05-1	0.0312
7782-49-2	0
6303-21-5	1.8637
917-54-4	2.356
593-77-1	2.6412
6154-14-9	2.2466
56400-02-3	1.4749
13817-04-4	1.4794
7790-89-8	1.4461
64-17-5	1.7886
95250-85-4	4.7633
58436-39-8	2.0578
12035-57-3	3.3756
12018-00-7	6.5612
66904-99-2	7.4783
18282-77-4	2.2255
373-52-4	2.1681
35576-91-1	3.2031
334-88-3	2.7834
6569-82-0	1.8266
10024-97-2	1.5294
53750-02-0	1.2851
14500-81-3	2.4853
74-93-1	1.8951
14314-42-2	2.1164
16355-69-4	2.197
12597-05-6	1.2554
29210-66-0	3.3394
115-10-6	1.4104
24981-14-4	1.2018
593-60-2	1.9474
1309-48-4	7.5578
12024-20-3	7.0472
17739-47-8	2.91
1305-78-8	7.2202
3017-23-0	3.2179
13637-65-5	2.2686
39594-91-7	2.0027
25756-87-0	0.6532
2053-29-4	2.0758
115-08-2	2.9905
1493-02-3	2.6229
593-68-0	1.6439
463-51-4	2.824
60635-32-7	2.0942
13780-28-4	1.8856
16890-80-5	2.4064
17256-78-9	5.1162
13462-88-9	10.4556
544-92-3	0.6239
14519-03-0	1.4877
13478-41-6	0.7327
12041-50-8	3.6214
12200-64-5	5.3868
7782-92-5	0.0616
7727-37-9	0
67-56-1	1.7966
1317-66-4	0
7784-42-1	1.0529
13768-60-0	0.2035
107257-40-9	2.225
12039-83-7	3.256
74-85-1	0.0008
7440-56-4	0
2565-30-2	2.4735
14885-60-0	0
10405-27-3	2.238
1747-99-5	0.4489
14940-65-9	2.1792
20859-73-8	4.2674
15455-99-9	1.0277
15435-77-5	0.3577
2210-34-6	0.028
7803-51-2	1.2413
593-70-4	2.1805
13765-45-2	0.1695
12045-15-7	4.059
20074-52-6	0
14720-35-5	2.5557
52323-02-1	0.3027
2171-96-2	1.5306
20729-41-3	1.7979
18852-54-5	1.6696
31139-16-9	0.4714
34627-31-1	1.7659
52509-85-0	1.0012
14044-97-4	1.6122
15056-34-5	1.4085
13517-11-8	1.7353
31479-14-8	0.2833
10218-87-8	2.1622
74-87-3	2.2183
463-49-0	0.0073
14034-79-8	2.2114
10028-17-8	0
112296-53-4	3.9481
16043-45-1	0
10028-15-6	1.2223
506-77-4	2.6835
26981-93-1	0.3509
13445-50-6	1.7845
1066-27-9	0.3521
22541-48-6	0
36429-11-5	1.5987
12357-66-3	3.1411
7440-37-1	0
157-22-2	2.1802
