CAS	RG
24304-00-5	7.5023287e-11
22831-39-6	2.0686968e-10
1761-67-7	2.0372636e-10
4960-86-5	1.4343906e-10
1605-72-7	2.1898124e-10
38490-24-3	1.1703842e-10
420-12-2	2.0399605e-10
593-54-4	1.7487773e-10
676-55-1	1.0736248e-10
22831-42-1	5.1605885e-11
16643-15-5	2.6264534e-10
13983-20-5	2.9254307e-11
6829-52-3	2.7679985e-11
409-21-2	7.0974909e-11
7782-39-0	2.5149822e-11
7732-18-5	6.2937669e-11
12065-11-1	1.3265975e-10
151-56-4	1.9895136e-10
12033-76-0	1.8994601e-10
12265-14-4	1.6259479e-10
13774-92-0	2.5922964e-11
7698-05-7	2.233222e-11
54098-92-9	1.9680694e-10
50-00-0	1.2088875e-10
7782-44-7	5.7605815e-11
12601-93-3	1.9691611e-10
20548-54-3	1.2746073e-10
3031-73-0	1.9498848e-10
2465-56-7	8.0047955e-11
13569-43-2	1.6508156e-10
36336-08-0	1.8855164e-10
353-36-6	2.1725968e-10
14312-20-0	2.8122339e-10
2696-92-6	1.7415205e-10
14616-31-0	2.1872442e-10
2781-85-3	1.9626304e-10
593-75-9	1.7463429e-10
6251-26-9	2.4568631e-10
157-18-6	1.7201992e-10
13595-81-8	1.0903303e-10
62064-82-8	1.2627364e-10
1449-65-6	1.4804777e-10
7790-92-3	1.0918742e-10
15861-05-9	1.2291795e-10
3400-09-7	2.2388899e-10
12589-02-5	1.8992842e-10
13965-74-7	1.7849167e-10
1603-84-5	1.9190337e-10
13768-07-5	1.7044547e-10
7647-01-0	2.2413208e-11
6725-64-0	2.509236e-10
24167-76-8	7.0808207e-11
593-67-9	2.0869552e-10
7783-06-4	6.5727417e-11
12190-75-9	7.7992788e-11
14452-59-6	1.3411536e-10
36835-58-2	2.1414621e-10
1310-53-8	1.985742e-10
1305-84-6	7.8160864e-11
61183-51-5	2.2449023e-10
1333-74-0	3.4956081e-11
7664-41-7	8.7568493e-11
7782-41-4	6.7262019e-11
7783-07-5	4.6777098e-11
2944-05-0	1.0421017e-10
302-01-2	1.4950595e-10
14984-74-8	2.1640758e-10
14915-07-2	6.5955953e-11
