CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
50-00-0	12800.0	14400.0	15400.0
50-21-5	17000.0	8300.0	28400.0
50-29-3	20000.0	5500.0	3100.0
50-67-9	18000.0	8200.0	14400.0
50-78-2	19000.0	6900.0	9700.0
50-81-7	18000.0	11700.0	25500.0
51-17-2	20600.0	14900.0	11000.0
51-43-4	20500.0	8700.0	19900.0
51-61-6	18200.0	10300.0	19500.0
51-68-3	16000.0	6200.0	9000.0
51-79-6	16800.0	10100.0	13000.0
54-11-5	18500.0	7800.0	6500.0
55-21-0	21200.0	14700.0	11200.0
55-63-0	16900.0	13000.0	10900.0
55-91-4	15700.0	10200.0	5900.0
56-23-5	17800.0	0.0	600.0
56-81-5	17400.0	11300.0	27200.0
57-06-7	17000.0	11300.0	8500.0
57-11-4	16300.0	3300.0	5500.0
57-13-6	20900.0	18700.0	26400.0
57-14-7	15300.0	5900.0	11000.0
57-55-6	16800.0	10400.0	21300.0
57-57-8	17000.0	18200.0	9000.0
58-08-2	19500.0	10100.0	13000.0
59-92-7	18000.0	8200.0	20300.0
60-01-5	16300.0	2500.0	7000.0
60-12-8	18300.0	5600.0	11200.0
60-18-4	17500.0	6900.0	17200.0
60-29-7	14500.0	2900.0	4600.0
60-34-4	16200.0	8700.0	14800.0
60-35-5	17300.0	18700.0	19300.0
62-53-3	20100.0	5800.0	11200.0
62-55-5	17500.0	20600.0	20200.0
62-56-6	20000.0	19400.0	14800.0
63-74-1	20000.0	19500.0	10700.0
64-17-5	15800.0	8800.0	19400.0
64-18-6	14600.0	10000.0	14000.0
64-19-7	14500.0	8000.0	13500.0
64-67-5	15700.0	12700.0	5100.0
65-71-4	19000.0	20500.0	13000.0
65-85-0	20000.0	6900.0	10800.0
66-25-1	15800.0	8400.0	5300.0
66-81-9	18300.0	11000.0	13800.0
67-56-1	14700.0	12300.0	22300.0
67-63-0	15800.0	6100.0	16400.0
67-64-1	15500.0	10400.0	7000.0
67-66-3	17800.0	3100.0	5700.0
67-68-5	18400.0	16400.0	10200.0
67-71-0	19000.0	19400.0	12300.0
67-72-1	18600.0	2000.0	0.0
68-11-1	16000.0	13500.0	20000.0
68-12-2	17400.0	13700.0	11300.0
69-72-7	19000.0	9000.0	13700.0
71-23-8	16000.0	6800.0	17400.0
71-36-3	16000.0	5700.0	15800.0
71-41-0	15900.0	5900.0	13900.0
71-43-2	18400.0	0.0	2000.0
71-55-6	16800.0	4300.0	2000.0
73-24-5	20000.0	16000.0	14900.0
74-82-8	14000.0	0.0	0.0
74-83-9	17000.0	8800.0	2600.0
74-84-0	15500.0	0.0	0.0
74-85-1	15000.0	2000.0	3800.0
74-86-2	14400.0	4200.0	11900.0
74-87-3	15300.0	9900.0	3900.0
74-88-4	17500.0	7700.0	5300.0
74-89-5	14400.0	7000.0	16000.0
74-90-8	12300.0	17600.0	9000.0
74-93-1	16600.0	7700.0	8600.0
74-95-3	19000.0	6400.0	7000.0
74-96-4	16500.0	8400.0	2300.0
74-97-5	17300.0	5700.0	3500.0
74-98-6	13100.0	0.0	0.0
74-99-7	15100.0	3800.0	9200.0
75-00-3	15700.0	6100.0	2900.0
75-01-4	16000.0	6500.0	2400.0
75-02-5	15200.0	7000.0	1000.0
75-03-6	17500.0	7000.0	6000.0
75-04-7	15000.0	5600.0	10700.0
75-05-8	15300.0	18000.0	6100.0
75-07-0	14700.0	12500.0	7900.0
75-08-1	15700.0	6500.0	7100.0
75-09-2	17000.0	7300.0	7100.0
75-11-6	22000.0	3900.0	5500.0
75-12-7	17200.0	26200.0	19000.0
75-13-8	15800.0	10500.0	13600.0
75-15-0	20200.0	0.0	600.0
75-18-3	16100.000000000002	6400.0	7400.0
75-19-4	17300.0	0.0	0.0
75-21-8	15600.0	10000.0	11000.0
75-25-2	20000.0	5000.0	7000.0
75-26-3	15500.0	8300.0	4700.0
75-29-6	15000.0	8000.0	2000.0
75-31-0	14800.0	4400.0	6600.0
75-33-2	16300.0	6800.0	6500.0
75-34-3	16500.0	7800.0	3000.0
75-35-4	16400.0	5200.0	2400.0
75-36-5	16200.0	11200.0	5800.0
75-37-6	14900.0	9300.0	2900.0
75-38-7	15000.0	5700.0	3600.0
75-43-4	15800.0	3100.0	5700.0
75-44-5	16400.0	5300.0	5300.0
75-45-6	12300.0	6300.0	5700.0
75-46-7	14400.0	8700.0	6300.0
75-47-8	20200.0	3600.0	10600.0
75-50-3	14600.0	3400.0	1800.0
75-52-5	15800.0	18800.0	6100.0
75-55-8	17800.0	8400.0	6500.0
75-56-9	15200.0	8600.0	6700.0
75-62-7	18300.0	800.0	0.0
75-63-8	14300.0	2400.0	0.0
75-65-0	15200.0	5100.0	14700.0
75-69-4	15300.0	2000.0	0.0
75-71-8	14900.0	2000.0	0.0
75-79-6	16500.0	6600.0	3500.0
75-84-3	15600.0	6500.0	13500.0
75-85-4	15300.0	6100.0	13300.0
75-86-5	16600.0	12200.0	15500.0
75-87-6	17200.0	7400.0	7600.0
75-89-8	15400.0	8300.0	16400.0
76-01-7	18200.0	3200.0	2400.0
76-03-9	18300.0	7000.0	13000.0
76-05-1	15600.0	9700.0	11400.0
76-06-2	17600.0	6800.0	7000.0
76-13-1	14700.0	1600.0	0.0
76-14-2	12600.0	1800.0	0.0
77-78-1	16500.0	13000.0	7000.0
77-89-4	16600.0	3500.0	8600.0
77-90-7	16700.0	2500.0	7400.0
77-93-0	16500.0	4900.0	12000.0
77-94-1	16600.0	3800.0	10100.0
78-10-4	13900.0	4300.0	600.0
78-40-0	16700.0	11400.0	9200.0
78-59-1	17000.0	8000.0	5000.0
78-76-2	16300.0	7700.0	4400.0
78-78-4	13800.0	0.0	0.0
78-79-5	14700.0	1400.0	4100.0
78-83-1	15100.0	5700.0	15900.0
78-85-3	15000.0	10300.0	7100.0
78-86-4	15800.0	7600.0	2000.0
78-87-5	17300.0	7100.0	2900.0
78-88-6	16200.0	7800.0	3000.0
78-92-2	15800.0	5700.0	14500.0
78-93-3	16000.0	9000.0	5100.0
78-94-4	15600.0	12500.0	5000.0
78-95-5	16800.0	9600.0	5500.0
78-98-8	15500.0	16100.000000000002	9700.0
78-99-9	16100.000000000002	7800.0	3500.0
79-00-5	18200.0	5300.0	6800.0
79-01-6	18000.0	3100.0	5300.0
79-02-7	16700.0	9100.0	7500.0
79-03-8	16100.000000000002	10300.0	5300.0
79-04-9	17500.0	9200.0	5500.0
79-05-0	16700.0	14600.0	11500.0
79-06-1	15800.0	12100.0	12800.0
79-07-2	17600.0	12400.0	12800.0
79-09-4	14700.0	5300.0	12400.0
79-10-7	16600.0	6400.0	10000.0
79-11-8	17700.0	10400.0	12300.0
79-16-3	16900.0	17000.0	13000.0
79-20-9	15500.0	7200.0	7600.0
79-22-1	16300.0	9500.0	8500.0
79-24-3	16000.0	15500.0	4500.0
79-27-6	21000.0	7000.0	8200.0
79-31-2	15700.0	5400.0	10500.0
79-34-5	18800.0	5100.0	5300.0
79-37-8	16100.000000000002	3800.0	7500.0
79-38-9	15300.0	6300.0	0.0
79-39-0	15800.0	11000.0	11600.0
79-41-4	15800.0	2800.0	12000.0
79-43-6	18200.0	8100.0	12200.0
79-46-9	16200.0	12100.0	4100.0
79-92-5	16400.0	1800.0	3100.0
79-94-7	20200.0	9100.0	13800.0
80-05-7	19200.0	5900.0	13800.0
80-09-1	20000.0	14600.0	16300.0
80-48-8	19600.0	15300.0	3800.0
80-56-8	16900.0	1800.0	3100.0
80-62-6	15800.0	6500.0	5400.0
80-63-7	15900.0	7300.0	8500.0
81-07-2	21100.0	12500.0	9800.0
83-34-1	20000.0	7100.0	6200.0
83-42-1	20300.0	9600.0	3800.0
84-11-7	20300.0	17100.0	4800.0
84-65-1	20300.0	7600.0	4800.0
84-66-2	17600.0	9600.0	4500.0
84-74-2	17800.0	8600.0	4100.0
84-75-3	17000.0	7600.0	3600.0
85-44-9	20000.0	14400.0	4100.0
85-68-7	19000.0	11200.0	3100.0
86-73-7	21300.0	1700.0	1700.0
86-74-8	21700.0	6400.0	6200.0
86-91-9	19300.0	7900.0	6100.0
87-40-1	21000.0	3900.0	7000.0
87-65-0	20100.0	7500.0	10900.0
87-66-1	20700.0	10700.0	21100.0
87-85-4	19200.0	1600.0	0.0
87-86-5	21500.0	6900.0	12800.0
88-06-2	20300.0	5100.0	10800.0
88-12-0	16400.0	9300.0	5900.0
88-15-3	19100.0	12200.0	9300.0
88-89-1	19200.0	7000.0	6000.0
89-59-8	19900.0	11800.0	3800.0
89-82-7	17500.0	8900.0	5500.0
89-83-8	19000.0	4500.0	10800.0
