CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
57-11-4	16400.0	3300.0	5500.0
60-29-7	14500.0	2900.0	5100.0
62-53-3	19400.0	5100.0	10200.0
64-17-5	15800.0	8800.0	19400.0
64-18-6	14300.0	11900.0	16600.0
64-67-5	15800.0	14700.0	7200.0
67-56-1	15100.0	12300.0	22300.0
67-63-0	15800.0	6100.0	16400.0
67-66-3	17800.0	3100.0	5700.0
67-68-5	18400.0	16400.0	10200.0
68-12-2	17400.0	13700.0	11300.0
74-87-3	15300.0	6100.0	3900.0
74-97-5	17400.0	5700.0	3500.0
75-08-1	15800.0	6500.0	7200.0
75-09-2	18200.0	6300.0	6100.0
75-11-6	17800.0	3900.0	5500.0
75-25-2	21500.0	4100.0	6100.0
75-34-3	16600.0	8200.0	400.0
75-36-5	15800.0	10600.0	3900.0
75-43-4	15800.0	3100.0	5700.0
75-45-6	12300.0	6300.0	5700.0
75-52-5	15800.0	18800.0	5100.0
75-65-0	15200.0	5100.0	14700.0
78-40-0	16800.0	11500.0	9200.0
78-59-1	16600.0	8200.0	7400.0
78-83-1	15100.0	5700.0	15900.0
78-92-2	15800.0	5700.0	14500.0
79-20-9	15500.0	7200.0	7600.0
79-34-5	18800.0	5100.0	9400.0
79-46-9	16200.0	12100.0	4100.0
84-66-2	17600.0	9600.0	4500.0
84-74-2	17800.0	8600.0	4100.0
90-12-0	20600.0	800.0	4700.0
95-50-1	19200.0	6300.0	3300.0
96-22-0	15800.0	7600.0	4700.0
96-49-1	19400.0	21700.0	5100.0
97-85-8	15100.0	2800.0	5800.0
97-99-4	17800.0	8200.0	12900.0
98-00-0	17400.0	7600.0	15100.0
98-01-1	18600.0	14900.0	5100.0
98-86-2	19600.0	8600.0	3700.0
98-95-3	20100.0	8600.0	4100.0
100-41-4	17800.0	600.0	1400.0
100-51-6	18400.0	6300.0	13700.0
100-52-7	19400.0	7400.0	5300.0
100-66-3	17800.0	4100.0	6800.0
103-50-4	17400.0	3700.0	7400.0
105-58-8	16600.0	3100.0	6100.0
106-36-5	15500.0	5600.0	5700.0
106-93-4	19600.0	6800.0	12100.0
107-12-0	15300.0	14300.0	5500.0
107-13-1	16400.0	17400.0	6800.0
107-18-6	16200.0	10800.0	16800.0
107-92-6	14900.0	4100.0	10600.0
107-98-2	15600.0	6300.0	11600.0
108-03-2	16600.0	12300.0	5500.0
108-10-1	15300.0	6100.0	4100.0
108-11-2	15300.0	3300.0	12300.0
108-20-3	15100.0	3200.0	3200.0
108-21-4	14900.0	4500.0	8200.0
108-30-5	18600.0	19200.0	16600.0
108-39-4	18500.0	6500.0	13700.0
108-65-6	15600.0	5600.0	9800.0
108-86-1	20500.0	5500.0	4100.0
108-91-8	17400.0	3100.0	6500.0
108-93-0	17400.0	4100.0	13500.0
108-94-1	17800.0	6300.0	5100.0
109-43-3	13900.0	4500.0	4100.0
109-60-4	15300.0	4300.0	7600.0
109-74-0	15300.0	12500.0	5100.0
109-78-4	17200.0	18800.0	17600.0
109-86-4	16200.0	9200.0	16400.0
109-89-7	14900.0	2300.0	6100.0
109-94-4	15500.0	8400.0	8400.0
110-00-9	17800.0	1800.0	5300.0
110-19-0	15100.0	3700.0	6300.0
110-80-5	16200.0	9200.0	14300.0
110-91-8	18800.0	4900.0	9200.0
110-98-5	16500.0	10600.0	17700.0
111-40-0	16800.0	13300.0	14300.0
111-77-3	16200.0	7800.0	12700.0
111-90-0	16200.0	9200.0	12300.0
111-96-6	15800.0	6100.0	9200.0
112-07-2	15300.0	7500.0	6800.0
112-62-9	14500.0	3900.0	3700.0
112-80-1	14300.0	3100.0	5500.0
122-99-6	17800.0	5700.0	14300.0
123-42-2	15800.0	8200.0	10800.0
123-51-3	15800.0	5200.0	13300.0
123-86-4	15800.0	3700.0	6300.0
123-95-5	14500.0	3700.0	3500.0
124-07-2	15100.0	3300.0	8200.0
126-73-8	16400.0	6300.0	4300.0
127-19-5	16800.0	11500.0	10200.0
131-11-3	18600.0	10800.0	4900.0
136-60-7	18300.0	5600.0	5500.0
138-22-7	15800.0	6500.0	10200.0
138-86-3	17200.0	1800.0	4300.0
141-43-5	15800.0	8800.0	19400.0
141-78-6	15800.0	5300.0	7200.0
141-79-7	16400.0	7200.0	6100.0
142-84-7	15300.0	1400.0	4100.0
142-91-6	14300.0	3900.0	3700.0
590-01-2	15700.0	5500.0	5900.0
616-45-5	19400.0	17400.0	11300.0
623-37-0	15800.0	4300.0	13500.0
627-30-5	17600.0	5700.0	14700.0
628-63-7	15800.0	3300.0	6100.0
646-06-0	18100.0	6600.0	9300.0
680-31-9	18400.0	8600.0	11300.0
770-35-4	17400.0	5300.0	11500.0
931-40-8	17900.0	25500.0	17400.0
34590-94-8	15500.0	5700.0	11200.0
