CAS	Tt	Tm	Tb	Tc	Pt	Pc	Vc	Hfs	Hfl	Hfg	S0s	S0l	S0g	Hsub	Hfus	Hvap	AntoineTmin	AntoineTmax	AntoineA	AntoineB	AntoineC
100005		356	515.18322					-48740						74700							
100016		420						-44646.056		55200				101000			415.6	609	27.518563	10573.213	52.016
100027		385	552.2					-208934.35		-115729.27				93067.607							
100061		311.8607	531.2																		
100072		294	417						-335900	-261800						74100					
100094		456.76437						-561700		-451900			413	111314.12		92000					
100107		347						-137000													
100118		372.7																			
100129			518.7					-55310													
100174		327.1	547.2																		
100185		256.09085	481.10563	794.15		9777860			-132300							56500	393.41	484.73	20.303274	3779.5553	-81.204
100196		353.65	449.21051																		
100209			539.2					-357562.45			226.1										
100210								-816277.57						146519.44							
100221			533.2					39600													
100232		436.9						-37388.004		64414.188				101802.19							
100254		444.77266						-38000						94721.401			525	564.7	14.309392	385.25242	-429.356
100298			556.2																		
100367			419.2																		
100378			414.04939					-310000								53521.578					
100390		271.75	471.43703						22035.601	84000						53123.705	305.4	471.7	22.273873	4704.4922	-34.57
100403			400.76311						29700	69500						39338.363					
100414	178.1177	179	409.3	617		3640000	0.000374		6590.2281	48791.449		255.25678	360.6			41000	420	600	21.656642	3902.9416	-23.698
100425	242.47	241	419						87743.469	136548.78		240.17988	345.1			43681.521	305.6	355.34	20.859809	3361.5647	-59.551
100447		233.17439	452						-33000	19000						49956.05	295	452.6	22.295079	4448.9214	-39.396
100469			440						34175.029	87775.029						55413.352	302	457.7	22.627734	4613.2937	-41.973
100470	260.33	263	464	701		4215001.4	0.00032927231		163200	219000		209.1				55640	301.4	463.8	22.689697	4859.7716	-28.331
100481		352.4						210300		283500				73200							
100492			455.17157						-378000												
100505		177.1	437.37404																		
100516		257	478						-155040.69	-94740.687		216.7				63000	395.67	478.56	21.821898	4003.9652	-89.559
100527	216.02	246.88764	452	689.04929		4361356.5			-85303.046	-35935.987		221.2				48000	273.14	322.06	23.520815	5382.3825	-5.103
100538			467.66516						38480.518	91654.757						52715.19					
100549		323.31212	491.84456					205644.16		277744.16				72100							
100561								0													
100607			422.2																		
100618		216	468			5197970			33384.351	83916.767						50560.799	323	472.76	23.012243	5126.8807	-22.456
100630		291.13623	514.40065						141075.87	203007.97						61892.818	345	516.7	23.453003	5711.0166	-37.496
100641	362.5	362	481.2					-153200		-74880	185.09946			78740.847		63100					
100652		352.15																			
100663		250	427	643		4200000	0.00034129693		-117118.5	-71720.483						44000	383.03	437.26	21.131422	3430.29	-69.607
100685	256.44		461.13243						44557.897	97472.699		252.5				52000	390.3	474.77	21.037315	3693.0863	-79.166
100696									157000												
100709		302.15	492.04363					210000		280700				70700							
100710		210.05	421.88747						1500							44700					
100721			460.16332																		
100743		210.15	411.70929													42100					
100754									-31000	17000											
100765	430							-55100		-4300	206.98			50800							
100798			461.7																		
100801	250.78	191.57132	444.18528														340.8	442.3	21.224631	3648.4369	-66.922
100812			476.7																		
100834			513.2											100100							
100845		217.5444	448.71344	665.3					-155400												
100867			488.2																		
100970								124078.89		198978.89	163.38			78865.839							
1000506			411																		
1000631			397.11934						-403300	-361000						42383.205					
1000868		157.45537	366.6																		
1000879			356																		
100046002														107000							
10006287								-1548080	-1499300		145.91	184.23									
