CAS	Tm	Tb	Hfus	Hvap	Hf	S0	LFL	UFL	T_flash	T_autoignition	RI	RIT	logP
100-00-5	356.48333	515.37222							400.37222				
100-01-6	419.26111	605.37222							472.03889				
100-02-7	386.15												
100-06-1	311.15												
100-07-2	295.15												
100-09-4	457.15												
100-10-7	347.15												
100-11-8	372.15												
100-13-0	300.15												
100-14-1	345.15												
100-15-2	426.15												
100-17-4	325.15												
100-18-5	256.15												
100-19-6	352.15												
100-20-9	354.15												
100-22-1	323.15												
100-23-2	438.15												
100-25-4	445.92778	572.03889											
100-28-7	331.15												
100-37-8	203.15	435.92778					0.067	0.117	325.37222				
100-39-0	269.15												
100-41-4	178.15	409.26111					0.008	0.067	285.92778		1.495		
100-42-5	242.59444	418.15					0.009	0.068	304.26111				
100-44-7	234.26111	452.03889					0.011		340.37222				
100-46-9	230.15												
100-47-0	260.15												
100-48-1	351.15												
100-50-5	275.15												
100-51-6	258.15	478.15											
100-52-7	247.15								335.15				
100-53-8	243.15												
100-54-9	323.15												
100-55-0	266.15												
100-60-7	265.15												
100-61-8	215.92778	468.70556							352.59444				
100-63-0	292.59444								360.92778				
100-64-1	362.15												
100-66-3	235.85	426.75					0.012	0.063	325.15	748.15	1.5174		2.11
100-69-6	223.15												
100-70-9	300.15												
100-71-0	210.15												
100-74-3	210.37222	411.48333							305.37222				
100-79-8	246.15												
100-80-1	191.15												
100-83-4	377.15												
100-86-7	297.15												
1000-70-0	250.15												
1000520-92-2	379.15												
100063-22-7	420.15												
1001-53-2	320.15												
100124-06-9	562.15												
1002-57-9	468.15												
1002-84-2	326.15												
10022-31-8	863.15												
10024-97-2	182.03889	184.81667				219.9							
10025-65-7					-107000								
10025-66-8	1173.15				-870300								
10025-67-9	195.92778	410.92778							391.48333				
10025-74-8					-983000								
10025-78-2	146.15												
10025-82-8					-537000								
10025-83-9	1036.15				-240000								
10025-87-3	274.26111	378.70556											
10026-12-7	2320.15												
10026-13-8	433.15												
10028-15-6	80.372222	161.48333				238.9							
1003-03-8	188.15												
1003-29-8	316.15												
1003-56-1	413.15												
1003-67-4	457.15												
1003-68-5	458.15												
1003-73-2	311.15												
1003-90-3	378.15												
1003-99-2	317.15												
1003043-40-0	455.15												
10031-22-8	646.15	1166.15			-281900								
10031-26-2					-268000								
10031-82-0	287.15												
10034-85-2	222.35	237.79			26600	206.6							
10035-10-6	186.48333	206.48333				198.7							
100365-72-8	398.15												
100377-63-7	484.15												
10038-98-9					-531000								
1004-36-0	407.15												
1004-38-2	523.15												
10040-95-6	339.15												
10041-02-8	479.15												
10041-06-2	389.15												
10042-76-9	843.15	918.15											
10043-01-3	973.15	1873.15											
