CAS	Compound	Hfg
50-00-0	Formaldehyde	-115910
56-23-5	Carbon Tetrachloride	-95980
57-13-6	Urea	-245620
57-55-6	1,2-Propylene Glycol	-409800
60-29-7	Diethyl Ether	-252120
62-53-3	Aniline	86860
64-17-5	Ethanol	-234440
64-18-6	Formic Acid	-378650
64-19-7	Acetic Acid	-432240
67-56-1	Methanol	-200660
67-63-0	Isopropanol	-272440
67-64-1	Acetone	-217150
67-66-3	Chloroform	-103180
67-68-5	Dimethyl Sulfoxide	-209160
68-12-2	N,N-Dimethylformamide	-191690
71-23-8	n-Propanol	-256420
71-36-3	n-Butanol	-274670
71-41-0	1-Pentanol	-298740
71-43-2	Benzene	82930
71-55-6	1,1,1-Trichloroethane	-142300
74-82-8	Methane	-74520
74-84-0	Ethane	-83850
74-85-1	Ethylene (ethene)	52280
74-86-2	Acetylene (Ethyne)	226750
74-87-3	Methyl Chloride	-81960
74-89-5	Methylamine	-22970
74-90-8	Hydrogen Cyanide	135170
74-93-1	Methyl Mercaptan	-22600
74-98-6	Propane	-104690
74-99-7	Methylacetylene (Propyne)	184510
75-00-3	Ethyl Chloride	-112250
75-01-4	Vinyl Chloride	28450
75-04-7	Ethylamine	-46020
75-05-8	Acetonitrile	74040
75-07-0	Acetaldehyde	-166180
75-08-1	Ethyl Mercaptan	-46020
75-09-2	Dichloromethane	-95520
75-15-0	Carbon Disulfide	117070
75-18-3	Dimethyl Sulfide	-37200
75-19-4	Cyclopropane	53450
75-28-5	Isobutane	-134990
75-31-0	Isopropylamine	-83800
75-34-3	1,1-Dichloroethane	-130120
75-37-6	1,1-Difluoroethane	-493720
75-43-4	Dichlorofluoromethane	-283250
75-45-6	Chlorodifluoromethane	-481590
75-46-7	Trifluoromethane	-693250
75-64-9	tert-Butylamine	-119880
75-65-0	tert-Butanol	-312410
75-66-1	tert-Butanethiol	-109290
75-69-4	Trichlorofluoromethane	-288700
75-71-8	Dichlorodifluoromethane	491610
75-72-9	Chlorotrifluoromethane	-707950
75-73-0	Carbon Tetrafluoride	-933160
75-83-2	2,2-Dimethylbutane (neohexane)	-184680
75-84-3	2,2-Dimethy-1-Propanol	-319080
75-85-4	2-Methyl-2-Butanol	-329710
77-73-6	Dicyclopentadiene	126020
78-78-4	Isopentane (2-methylbutane)	-153700
78-79-5	2-Methyl-1,3-Butadiene (isoprene)	75750
78-81-9	Isobutylamine	-98800
78-83-1	Isobutanol	-283210
78-85-3	Methacrolein	-112720
78-87-5	1,2-Dichloropropane	-165690
78-92-2	sec-Butanol	-292870
78-93-3	Methyl Ethyl Ketone	-238380
79-00-5	1,1,2-Trichloroethane	-145600
79-09-4	Propionic Acid	-453560
79-20-9	Methyl Acetate	-409150
79-29-8	2,3-Dimethylbutane	-176800
79-31-2	2-Methylpropionic Acid	-484160
80-56-8	alfa-Pinene	28300
83-32-9	Acenaphthene	155000
84-15-1	1,2-Diphenylbenzene (o-terphenyl)	276570
85-01-8	Phenanthrene	207100
86-73-7	Fluorene	186900
86-74-8	Dibenzopyrrole	209600
86-89-5	1-n-Pentylnaphthalene	29330
90-12-0	1-Methylnaphthalene	116860
91-20-3	Naphthalene	150580
91-22-5	Quinoline	222300
91-57-6	2-Methylnaphthalene	116110
92-06-8	1,3-Diphenylbenzene (m-terphenyl)	276570
92-51-3	Bicyclohexyl	-272010
92-52-4	Biphenyl	182090
