CAS	Chemical	formula	Hfl	Gfl	S0l	Cpl	Hfg	Gfg	S0g	Cpg
50-00-0	Formaldehyde	CH2O					-115897.0	-109921.0	218.95	35.402
56-23-5	Tetrachloromethane	CCl4					-95981.0	-53617.0	309.809	83.401
57-12-5	Cyanide	CN-					60668.0	38768.0	195.976	29.133
67-66-3	Trichloromethane	CHCl3					-103177.0	-70357.0	295.62	65.383
67-72-1	Hexachloroethane	C2Cl6					-134223.0	-49894.0	397.88	138.934
74-82-8	Methane	CH4					-74873.0	-50768.0	186.251	35.639
74-85-1	Ethene	C2H4					52467.0	68421.0	219.33	42.886
74-86-2	Ethyne	C2H2					226731.0	209200.0	200.958	44.095
74-87-3	Chloromethane	CH3Cl					-83680.0	-60146.0	234.367	40.731
74-90-8	Hydrogen Cyanide	CHN					135143.0	124725.0	201.828	35.857
75-09-2	Dichloromethane	CH2Cl2					-95521.0	-68924.0	270.293	50.896
75-10-5	Difluoromethane	CH2F2					-450659.0	-423076.0	246.698	42.859
75-13-8	Hydrogen Isocyanate	CHNO					-101671.0	-92360.0	238.228	45.043
75-15-0	Carbon Disulfide	CS2					116943.0	66816.0	237.977	45.664
75-21-8	Oxirane	C2H4O					-52635.0	-13159.0	243.012	47.901
75-43-4	Dichlorofluoromethane	CHCl2F					-283257.0	-252758.0	293.26	60.995
75-44-5	Carbonic Dichloride	CCl2O					-220078.0	-205887.0	283.796	57.695
75-45-6	Chlorodifluoromethane	CHClF2					-481578.0	-450439.0	280.968	57.126
75-46-7	Trifluoromethane	CHF3					-697054.0	-662586.0	259.657	51.04
75-63-8	Bromotrifluoromethane	CBrF3					-648938.0	-622641.0	297.827	69.33
75-69-4	Triclorofluormethane	CCl3F					-288696.0	-249335.0	309.735	78.018
75-71-8	Dichlorodifluoromethane	CCl2F2					-491620.0	-452648.0	300.897	72.404
75-72-9	Chlorotrifluoromethane	CClF3					-707933.0	-667351.0	285.353	66.887
75-73-0	Tetrafluoromethane	CF4					-933199.0	-888507.0	261.419	61.054
75-76-3	Tetramethylsilane	C4H12Si					-286604.0	-148063.0	361.189	138.574
75-79-6	Trichloromethylsilane	CH3Cl3Si					-528858.0	-409577.0	351.147	102.382
76-16-4	Hexafluoroethane	C2F6					-1343901.0	-1258134.0	332.185	106.407
116-14-3	Tetrafluoroethene	C2F4					-658562.0	-623665.0	300.015	80.458
124-38-9	Carbon Dioxide	CO2					-393522.0	-394389.0	213.795	37.129
127-18-4	Tetrachloroethene	C2Cl4					-12426.0	21628.0	343.421	95.546
143-33-9	Sodium Cyanide	CNNa	-84398.0	-76201.0	125.507	68.68	94266.0	67323.0	243.367	50.178
151-50-8	Potassium Cyanide	CKN	-104148.0	-94638.0	134.321	75.312	79496.0	53578.0	253.146	50.857
289-56-5	Boroxin	H3B3O3					-1217544.0	-1149168.0	291.907	87.831
302-01-2	Hydrazine	H4N2	50626.0	149440.0	121.544	98.84	95353.0	159232.0	238.719	50.813
