CAS	name	Hfg	S0g
50-00-0	formaldehyde	-108600	218.54
50-21-5	lactic acid	-621000	364.82
50-70-4	sorbitol	-1140000	645.66
50-81-7	ascorbic acid	-951000	434.73
55-63-0	nitroglycerine	-270900	
56-23-5	carbon tetrachloride	-95800	310.03
56-81-5	glycerol	-582800	397.19
56-86-0	l-glutamic acid	-824000	492.31
56-87-1	lysine	-461000	530.94
57-10-3	hexadecanoic acid	-723000	881.92
57-11-4	octadecanoic acid	-764000	914.04
57-13-6	urea	-245800	
57-55-6	1,2-propanediol (propylene glycol)	-433000	314.03
57-57-8	beta-propiolactone	-297060	286.48
58-72-0	triphenylethylene	340000	583.35
60-09-3	p-aminoazobenzene	330000	504.85
60-12-8	2-phenylethanol	-121000	405.62
60-29-7	diethyl ether	-250800	342.58
60-33-3	linoleic acid	-540000	904.47
60-35-5	acetamide	-238300	284.67
62-53-3	aniline	86860	319.87
62-76-0	sodium oxalate	-1318000	
64-17-5	ethyl alcohol	-235000	280.37
64-18-6	formic acid	-378600	249
64-19-7	acetic acid	-432300	312.3
64-67-5	diethyl sulfate	-754900	421.42
65-85-0	benzoic acid	-290100	369.72
66-25-1	hexanal	-248600	422.02
67-56-1	methyl alcohol	-200900	239.88
67-63-0	isopropyl alcohol	-272700	309.13
67-64-1	acetone	-217100	295.5
67-66-3	chloroform	-102900	295.69
67-68-5	dimethyl sulfoxide	-209160	224.65
67-72-1	hexachloroethane	-138900	398.99
68-12-2	N,N'-dimethylformamide	-191700	326.54
69-72-7	salicylic acid	-466350	400.72
71-23-8	propyl alcohol	-255200	322.54
71-36-3	butanol	-274600	361.7
71-41-0	1-pentanol	-300160	410.88
71-43-2	benzene	82900	269.18
71-55-6	1,1,1-trichloroethane	-142300	320.09
74-31-7	N,N'-diphenyl-p-phenylenediamine	321000	525.34
74-82-8	methane	-74500	186.6
74-83-9	methyl bromide	-37700	246
74-84-0	ethane	-83800	229.45
74-85-1	ethylene	52500	219.18
74-86-2	acetylene	228200	200.86
74-87-3	methyl chloride	-82000	234.15
74-88-4	methyl iodide	13800	254.13
74-89-5	methylamine	-22500	243.1
74-90-8	hydrogen cyanide	135140	201.83
74-93-1	methyl mercaptan	-22600	255.22
74-95-3	dibromomethane	-14800	293.33
74-96-4	bromoethane	-63600	287.17
74-97-5	bromochloromethane	-44800	287.84
74-98-6	propane	-104700	270.28
74-99-7	methylacetylene	184500	248.39
75-00-3	ethyl chloride	-112300	275.65
75-01-4	vinyl chloride	28500	276.78
75-02-5	vinyl fluoride	-138900	262.27
75-03-6	ethyl iodide	-8400	295.63
75-04-7	ethylamine	-47500	283.6
75-05-8	acetonitrile	64400	242.6
75-07-0	acetaldehyde	-166200	264.06
75-08-1	ethyl mercaptan	-46000	288.33
75-09-2	dichloromethane	-95400	270.28
75-10-5	difluoromethane	-452300	246.64
75-11-6	diiodomethane	117600	309.58
75-12-7	formamide	-186190	248.71
75-15-0	carbon disulfide	116940	237.97
75-18-3	dimethyl sulfide	-37200	285.98
75-19-4	cyclopropane	53300	237.87
75-21-8	ethylene oxide	-52600	243.27
75-25-2	bromoform	16700	330.59
75-26-3	2-bromopropane	-97000	316.26
75-28-5	isobutane	-135000	295.34
75-29-6	2-chloropropane	-144800	306.08
75-30-9	2-iodopropane	-41700	325.39
75-31-0	isopropylamine	-83700	312.35
75-33-2	isopropyl mercaptan	-75900	324.47
75-34-3	1,1-dichloroethane	-130100	305.08
75-35-4	1,1-dichloroethylene	2400	288.1
75-36-5	acetyl chloride	-242800	295.17
75-37-6	1,1-difluoroethane	-500800	282.78
75-38-7	1,1-difluoroethylene	-336800	265.46
75-43-4	dichlorofluoromethane	-284900	293.26
75-44-5	carbonyl chloride	-220080	283.8
75-45-6	chlorodifluoromethane	-482800	281.1
75-46-7	fluoroform	-693300	259.55
75-47-8	iodoform	210900	355.64
75-50-3	trimethylamine	-23700	289.88
75-52-5	nitromethane	-74700	275.31
75-54-7	methyl dichlorosilane	-402000	328.88
75-55-8	propyleneimine	88800	288
75-56-9	1,2-propylene oxide	-92760	287.15
75-61-6	dibromodifluoromethane	-386600	324.18
75-62-7	bromotrichloromethane	-38900	332.95
75-63-8	bromotrifluoromethane	-649800	295.81
75-64-9	tert-butylamine	-120700	328.03
75-65-0	tert-butanol	-312400	326.81
75-66-1	tert-butyl mercaptan	-109300	337.8
75-68-3	1-chloro-1,1-difluoroethane	-529700	307.17
75-69-4	trichlorofluoromethane	-283700	309.94
75-71-8	dichlorodifluoromethane	-490800	300.47
75-72-9	chlorotrifluoromethane	-704200	285.29
75-73-0	carbon tetrafluoride	-933500	261.4
75-74-1	lead, tetramethyl	135900	
75-75-2	methanesulfonic acid	-583000	190.98
75-76-3	silane, tetramethyl	-286600	361.18
75-77-4	chlorotrimethylsilane	-352800	369.04
75-79-6	silane, methyltrichloro	-528860	351.14
75-83-2	2,2-dimethylbutane	-184000	358.22
75-84-3	2,2-dimethyl-1-propanol	-319070	401.19
75-85-4	tert-pentyl-alcohol	-329280	366.66
75-86-5	acetone cyanohydrin	-133000	336.51
75-87-6	trichloroacetaldehyde	-197000	349.67
75-88-7	2-chloro-1,1,1-trifluoroethane	-748100	326.46
75-91-2	t-butyl hydroperoxide	-243000	364.66
75-97-8	3,3-dimethyl-2-butanone	-290500	385.12
75-98-9	2,2-dimethylpropanoic acid	-491000	413.83
76-01-7	pentachloroethane	-145600	381.63
76-02-8	trichloroacetyl chloride	-305930	369.68
76-05-1	trifluoroacetic acid	-1021700	332.26
76-09-5	2,3-dimethyl-2,3-butanediol	-513000	333.69
76-11-9	1,1,1,2-tetrachloro-2,2-difluoroethane	-519700	380.37
76-12-0	1,1,2,2-tetrachloro-1,2-difluoroethane	-511300	385.74
76-13-1	1,1,2-trichloro-1,2,2-trifluoroethane	-705800	387
76-14-2	1,2-dichloro-1,1,2,2-tetrafluoroethane	-900400	364.11
76-15-3	chloropentafluoroethane	-1123000	358.32
76-16-4	hexafluoroethane	-1343000	331.41
76-19-7	octafluoropropane	-1703200	415.17
76-22-2	camphor	-257000	392.07
76-35-7	2,2-dimethyl-1,3-butanediol	-489000	431.9
77-47-4	hexachlorocyclopentadiene	-102000	456.45
77-73-6	dicyclopentadiene	196100	241.45
77-74-7	3-methyl-3-pentanol	-344000	348.57
77-78-1	dimethyl sulfate	-687500	335.06
77-84-9	2-methyl-2-ethyl-1,3-propanediol	-476200	466.64
77-92-9	citric acid	-1390000	557.43
77-99-6	trimethylolpropane	-640190	489.26
78-11-5	pentaerythritol tetranitrate	-386700	
78-26-2	2-methyl-2-propyl-1,3-propanediol	-497000	505.06
78-30-8	tri-o-cresyl phosphate	-851000	
78-40-0	triethyl phosphate	-1244700	
78-59-1	isophorone	-251000	422.68
78-69-3	3,7-dimethyl-3-octanol	-415990	548.02
78-74-0	1,1,2-tribromoethane	-10900	377.52
78-75-1	1,2-dibromopropane	-72800	376.53
78-76-2	2-bromobutane	-134300	362.12
78-77-3	1-bromo-2-methylpropane	-134000	255.53
78-78-4	isopentane	-153700	343.89
78-79-5	isoprene	75800	314.96
78-80-8	2-methyl-1-butene-3-yne	260000	279.87
78-81-9	isobutylamine	-98550	352.35
78-82-0	isobutyronitrile	24100	313.53
78-83-1	isobutanol	-282920	349.92
78-84-2	isobutyraldehyde	-215800	314.03
78-85-3	methacrolein	-112000	335.12
78-87-5	1,2-dichloropropane	-165690	355.3
78-88-6	2,3-dichloropropene	-47900	336.34
78-90-0	1,2-propanediamine	-53680	360.77
78-92-2	sec-butanol	-292800	359.35
78-93-3	methyl ethyl ketone	-238600	339.35
78-96-6	1-amino-2-propanol	-239000	364.28
78-97-7	lactonitrile	-63900	408.48
78-99-9	1,1-dichloropropane	-150800	344.57
79-00-5	1,1,2-trichloroethane	-145600	332.83
79-01-6	trichloroethylene	-9600	325.24
79-02-7	dichloroacetaldehyde	-201000	330.3
79-04-9	chloroacetyl chloride	-245600	326.18
79-06-1	acrylamide	-170000	300.48
79-09-4	propanoic acid	-452800	325.63
79-10-7	acrylic acid	-323500	307.65
79-11-8	chloroacetic acid	-435200	348.11
79-16-3	N-methylacetamide	-240000	320.81
79-20-9	methyl acetate	-411900	324.29
79-22-1	methyl chloroformate	-424000	312.89
79-24-3	nitroethane	-102000	316.82
79-27-6	1,1,2,2-tetrabromoethane	10880	400.23
79-29-8	2,3-dimethylbutane	-175900	365.94
79-31-2	isobutyric acid	-478000	362.37
79-34-5	1,1,2,2-tetrachloroethane	-149000	354.88
79-36-7	dichloroacetyl chloride	-280830	350.74
79-38-9	chlorotrifluoroethylene	-505400	322.23
79-39-0	2-methacrylamide	-185000	361.43
79-41-4	methacrylic acid	-361800	351.9
79-43-6	dichloroacetic acid	-436000	342.32
79-46-9	2-nitropropane	-139000	344.23
79-92-5	camphene	-28600	
80-05-7	bisphenol a	-245600	544.54
80-15-9	cumene hydroperoxide	-78400	455.95
80-43-3	dicumyl peroxide	-79400	667.97
80-46-6	p-tert-amylphenol	-212000	481.93
80-56-8	alpha-pinene	28300	473.29
80-59-1	trans-2-methyl-2-butenoic acid	-389200	393.73
80-62-6	methyl methacrylate	-347360	401.82
83-32-9	acenaphthene	155000	369.44
84-15-1	o-terphenyl	277000	528.39
84-65-1	anthraquinone	-95200	
84-66-2	diethyl phthalate	-688300	742.26
84-74-2	dibutyl phthalate	-750900	901.56
85-01-8	phenanthrene	207500	396.01
85-44-9	phthalic anhydride	-393130	399.91
86-73-7	fluorene	183300	381.21
86-74-8	dibenzopyrrole	209600	244.95
87-61-6	1,2,3-trichlorobenzene	9000	369.54
87-66-1	1,2,3-benzenetriol	-446000	382.04
87-68-3	hexachloro-1,3-butadiene	-29200	459.77
87-69-4	tartaric acid	-1160000	487.11
87-85-4	hexamethylbenzene	-105690	453.79
88-09-5	2-ethyl butyric acid	-517000	423.3
88-18-6	2-tert-butylphenol	-199260	426.71
88-69-7	2-isopropylphenol	-175150	417.1
88-72-2	o-nitrotoluene	45500	387.65
88-73-3	o-chloronitrobenzene	37200	370.21
88-74-4	o-nitroaniline	63800	383.19
88-99-3	phthalic acid	-663330	442.93
89-05-4	pyromellitic acid	-1480000	632.78
89-72-5	2-sec-butylphenol	-195790	456.05
89-83-8	5-methyl-2-isopropylphenol	-207260	449.88
90-00-6	o-ethylphenol	-145230	392.94
90-02-8	salicylaldehyde	-214950	388.44
90-05-1	guaiacol	-249000	399.11
90-11-9	1-bromonaphthalene	182000	386.39
90-12-0	1-methylnaphthalene	116860	378.35
90-13-1	1-chloronaphthalene	119800	376.45
91-20-3	naphthalene	150600	333.6
91-22-5	quinoline	222300	366.04
91-23-6	o-nitroanisole	-84500	401.68
