CAS	name	A	B	C	D	E	Tmin	Tmax
7439-93-2	lithium	30.8885264984834	-19157.5079737105	-1.0255	0	1	453.65	1000
7440-23-5	sodium	30.8678032326465	-12972.7644139285	-1.1748	0	1	370.944	700
7440-09-7	potassium	30.4832715221165	-10806.0318414211	-1.2403	0	1	336.65	600
7440-17-7	Rubidium	30.674386084835	-9843.55127254955	-1.3102	0	1	312.45	550
7440-46-2	Caesium	30.4809689370235	-9353.10064774181	-1.3359	0	1	301.65	550
7429-90-5	Aluminium	35.8828335651875	-39019.6069858771	-1.3133	0	1	933.473	1800
7440-55-3	gallium	19.8706568285069	-31842.4492510147	0.7579	-0.00072324197770943	1	302.9146	1600
7440-74-6	Indium	34.3654299889045	-28938.8894487492	-1.5298	0.000777582985904089	1	429.75	1500
7440-28-0	Thallium	31.3927926338491	-21605.1559275631	-1.0086	0	1	577.15	1100
7440-31-5	Tin	17.7868173193473	-34785.152999861	0.8036	-0.000237857040106285	1	505.078	1850
7439-92-1	Lead	31.1717444649217	-23239.9913435889	-1.075	0	1	600.612	1200
7440-65-5	Yttrium	43.1751205546997	-51151.9278408627	-2.1235	0	1	1795.15	2300
7439-91-0	Lanthanum	26.5481535981897	-50603.9125887301	-0.1667	0	1	1193.15	2450
7440-32-6	Titanium	49.2194064238091	-58091.9193111468	-2.6574	0	1	1943.15	2400
7440-67-7	Zirconium	15.1733832387991	-66231.5576148807	1.3555	0	1	2127.15	2500
7440-06-4	Platinum	60.4721397732709	-71198.2336604689	-3.896	0	1	2041.35	2500
7440-50-8	Copper	37.3357647588668	-40127.1504156072	-1.4742	0	1	1357.77	1850
7440-57-5	Gold	35.2381097391492	-43514.2530874015	-1.2222	0	1	1337.33	2050
7440-45-1	Cerium	25.3945584665996	-48994.4056087273	-0.1127	0	1	1072.15	2450
7440-10-0	Praseodymium	38.9659950047066	-43042.2231433377	-1.9565	0	1	1204.15	2200
7440-00-8	Neodymium	40.0689332642507	-39717.2902690543	-2.0554	0	1	1289.15	2000
7440-54-2	Gadolinium	35.9473059477914	-47214.5073318429	-1.3598	0	1	1586.15	2250
7440-27-9	Terbium	38.7035003041052	-46171.4362847166	-1.7216	0	1	1632.15	2200
7439-94-3	Lutetium	54.9321200395273	-54202.8530890798	-3.5093	0	1	1936.15	2350
7440-29-1	Thorium	148.700292781524	-85151.8993240128	-16.313	0.0045641841713328	1	2023.15	2500
7440-13-3	Protactinium	35.0815339528256	-78331.6422785645	-1.0555	0	1	1845.15	2500
7439-99-8	Neptunium	48.9799375741377	-55303.488763531	-3.2613	0.000595218246538961	1	917.15	2500
7440-07-5	Plutonium	41.4412739796752	-40495.5640304863	-2.937	0.000954421521046032	1	913.15	2450
7440-51-9	Curium	56.5116934133212	-49353.6088832344	-3.8591	0	1	1618.15	2200
7440-41-7	Beryllium	24.8488457995601	-36221.9660978893	0	0	1	1560.15	1800
7440-39-3	Barium	20.7525469191237	-18796.0021141104	0	0	1	1000.15	1200
7440-20-2	Scandium	24.869569065397	-40712.0070292277	0	0	1	1814.15	2000
7440-62-2	Vanadium	27.4807005608523	-57589.9557608741	0	0	1	2183.15	2500
7439-89-6	Iron	26.1405960367297	-45070.8006102655	0	0	1	1811.15	2100
7440-48-4	Cobalt	26.4652605348419	-47382.5960436315	0	0	1	1768.15	2150
7440-02-0	Nickel	26.8751206813948	-47813.1794560214	0	0	1	1728.15	2150
7440-05-3	Palladium	24.0199151660822	-41213.9705795004	0	0	1	1827.95	2100
7440-22-4	Silver	24.7705579063983	-31837.8440808287	0	0	1	1234.93	1600
7440-66-6	Zinc	23.9093910816185	-14474.0498945606	0	0	1	692.677	750
7440-43-9	Cadmium	23.5962395089713	-12415.5388214239	0	0	1	594.219	650
7439-97-6	Mercury	23.306113787254	-7345.24644665101	0	0	1	298	400
7440-52-0	Erbium	22.3206073674526	-33111.1736372544	0	0	1	1802.15	1900
7440-61-1	Uranium	59.2701903547281	-66259.1886359967	-4.0962	0	1	1408.15	2500
