Name	CAS	A	B	C	D	E	Tmin	Tmax
Ag	7440-22-4	29.2905324439456	-34389.1083638661	-0.2779	-0.000391669724318287	1	298	1234.93
Al	7429-90-5	27.9297046539861	-39710.3825137753	0.0639	-0.000775740917829694	1	298	933.473
Am	7440-35-9	27.591224645316	-34202.5989713336	0.1914	-0.0010819847351979	1	298	1449.15
Au	7440-57-5	30.0273596737037	-44419.1690289481	-0.3496	-0.00029380985786604	1	298	1337.33
Ba	7440-39-3	30.8747109879255	-21929.8204256753	-0.828	-0.001278164985121	1	298	1000.15
Be	7440-41-7	22.8847407152361	-38842.3079337166	0.6521	-0.000739129814851089	1	298	1560.15
Ca	7440-70-2	22.4656702283112	-21363.3844927988	0.5348	-0.00155792907391977	1	298	1115.15
Cd	7440-43-9	30.8793161581115	-13686.5657927566	-0.8052	0	1	298	594.219
Ce	7440-45-1	28.4270630340728	-50274.642920432	-0.3851	0.0000612487634736416	1	298	1072.15
Cm	7440-51-9	19.7486198185783	-46346.4327517842	1.1098	-0.00111214859991612	1	298	1618.15
Co	7440-48-4	26.3455261100062	-51458.1716582309	0.5578	-0.000994486501664128	1	298	1768.15
Cu	7440-50-8	29.50927802778	-40725.8225397857	-0.2638	-0.000342164144818915	1	298	1357.77
Dy	7429-91-6	28.0678597595657	-35038.4373600904	-0.2717	-0.000542258789400098	1	298	1685.15
Er	7440-52-0	29.1846135296679	-38059.4290020986	-0.4312	-0.00048722700567754	1	298	1802.15
Eu	7440-53-1	26.4445372690049	-21506.1447685644	-0.1659	-0.000828930633477857	1	298	1095.15
Gd	7440-54-2	23.4028223611598	-47677.3269355347	0.545	-0.000751794032862556	1	298	1586.15
Hf	7440-58-6	32.1019888424913	-74716.5836825638	-0.5041	-0.0000762155665781029	1	298	2506.15
Ho	7440-60-0	26.4974967261438	-36228.8738531683	-0.0278	-0.000724393270255927	1	298	1745.15
In	7440-74-6	31.1717444649217	-29196.7789791645	-0.8495	0	1	298	429.75
Ir	7439-88-5	33.8128095665859	-80687.1868286974	-0.4773	-0.000114438479121804	1	298	2500
La	7439-91-0	28.8277128402538	-51930.2016022947	-0.3323	0.0000142760275765631	1	298	1193.15
Li	7439-93-2	29.4632263259201	-19394.6742382888	-0.7074	0	1	298	453.65
Lu	7439-94-3	28.4431811297238	-51455.869073138	-0.1187	-0.000296572959977633	1	298	1936.15
Mn	7439-96-5	26.5021018963298	-34064.4438657539	0.4354	-0.00152154822945047	1	298	1519.15
Mo	7439-98-7	30.3750500227458	-79178.9935927863	-0.0374	-0.00044071478679906	1	298	2500
Nb	7440-03-1	29.0165248178793	-86874.2329735724	0.1441	-0.00016256250756538	1	298	2500
Nd	7440-00-8	21.9844299438755	-39284.4042715714	0.6421	-0.00120494277916378	1	298	1289.15
Ni	7440-02-0	33.1634805703616	-51916.3860917368	-0.4663	-0.000256507979359537	1	298	1728.15
Np	7439-99-8	38.2015367538325	-56556.0950541198	-1.0343	-0.00274145781171871	1	298	917.15
Os	7440-04-2	35.3716596745429	-95034.5945431433	-0.6908	0.000105688655768427	1	298	2500
Pa	7440-13-3	22.1202824643621	-79441.4882933876	1.0093	-0.00106287327892605	1	298	1845.15
Pb	7439-92-1	30.7204377866949	-23723.5342131177	-0.8782	0	1	298	600.612
Pd	7440-05-3	29.5415142190819	-45425.3987145865	-0.3414	-0.000359203274507071	1	298	1827.95
Pr	7440-10-0	23.4235456269967	-42726.7689855975	0.3775	-0.00104675518327509	1	298	1204.15
Pu	7440-07-5	55.1784966444776	-40546.2209025322	10.5178	-0.0200750881332686	1	298	600
Re	7440-15-5	33.0967056026647	-93369.8255209086	-0.4647	-0.000242462210292273	1	298	2500
Rh	7440-16-6	31.6069330474976	-66597.6686446668	-0.2168	-0.000247758156006159	1	298	2236.15
Ru	7440-18-8	25.2126542442531	-78046.1217270332	0.7895	-0.000548245510641882	1	298	2606.15
Sm	7440-19-9	20.4624211974064	-24759.697504965	0.8499	-0.00160858594596564	1	298	1345.15
Sn	7440-31-5	30.5776775109292	-36459.1323624677	-0.7398	0	1	298	505.078
Sr	7440-24-6	22.5992201637049	-19307.1760047551	0.415	-0.00137464330051745	1	298	1050.15
Tb	7440-27-9	26.400788152238	-46758.5954834301	0.1472	-0.000705972589511974	1	298	1632.15
Th	7440-29-1	39.0511906531473	-72950.5009162374	-1.643	0.0005800211849252	1	298	2023.15
Tl	7440-28-0	32.235538777885	-22160.0789349747	-0.9887	0	1	298	577.15
Ti	7440-32-6	29.2652040079226	-57039.6379236485	0.1252	-0.000863929926891366	1	298	1943.15
Tm	7440-30-4	27.7869443782205	-28056.9993581325	-0.3098	-0.000464891930275498	1	298	1400
V	7440-62-2	28.9175136588805	-62188.2181915832	0.197	-0.000394202567920581	1	298	2183.15
W	7440-33-7	-242.181947434959	-65425.6528323328	35.4537	-0.00830243106980863	1	2200	2500
Y	7440-65-5	26.3109873336113	-50974.6287887022	0.2848	-0.000713571120318855	1	298	1795.15
Zn	7440-66-6	30.9483937109013	-15940.7965987978	-0.7523	0	1	298	692.677
Zr	7440-67-7	29.4378978898972	-72245.9098777812	-0.0354	-0.000381768608418413	1	298	2127.15
