CAS	Name	A	B	C	Tmin	Tmax
50-00-0	Methanal	21.37029224807774	2204.1265544176204	-30.15	190.0	271.0
51-66-1	p-Methoxy-acetanilide	20.273432813179095	3916.1906744624134	-177.1	456.0	533.0
51-75-2	N-Methylbis(2-chloroethyl)amine	25.609075094068622	6563.288549070228	0.0	273.0	333.0
51-79-6	Urethane	23.846837644847486	5018.000667310994	-49.92	338.0	457.0
51-80-9	N,N,N’,N’-Tetramethyl-methane diamine	19.58334806080878	2251.525268556903	-77.911	273.0	348.0
54-11-5	Nicotine	21.94253069538862	4981.654361618083	-42.573	334.0	521.0
55-18-5	N-Nitrosodiethyl amine	51.89497205037191	7368.518674185897	346.622	273.0	337.0
55-38-9	O,O-Dimethyl O-[3-methyl-4-(methylthio)phenyl]-thiophosphate	25.45093354988179	9089.684913103296	0.0	293.0	373.0
55-63-0	Glycerol trinitrate	21.660003504478247	4547.838119757634	-113.651	293.0	373.0
55-91-4	Diisopropyl fluoro phosphate	29.582461982241004	7701.226102027886	0.0	273.0	348.0
56-23-5	Tetrachloromethane	20.96377084990964	2914.2207712460545	-41.002	250.0	374.0
56-38-2	O,O-Diethyl O-(4-nitrophenyl)-thiophosphate	27.433367211545942	9042.251660187618	-31.55	293.0	433.0
56-81-5	Glycerol	24.322574750910984	6153.389258570707	-81.155	341.0	563.0
57-06-7	Allyl isothiocyanate	21.100521378582556	3234.544896457921	-64.09	354.0	402.0
57-10-3	Hexadecanoic acid	19.842987555894787	3397.924821731314	-215.45	493.0	660.0
57-11-4	Octadecanoic acid	19.40987129990261	3247.1054981402035	-236.45	511.0	687.0
57-14-7	1,1-Dimethyl-hydrazine	22.379837656250047	3202.0024613386363	-40.506	238.0	293.0
57-55-6	1,2-Propanediol	25.425144596840255	6091.949380534347	-22.45	364.0	483.0
57-57-8	2-Oxetanone	19.79214647704148	2704.1029737550684	-108.679	324.0	435.0
57-87-4	Ergosterol	32.68980056523647	14276.027576563085	0.0	433.0	454.0
