CAS	Name	A	B	C	Tmin	Tmax
50-29-3	2,2-Bis(4-chlorophenyl)-1,1,1-trichloroethane, p,p'-DDT	29.899113484229545	10344.335899254636	-37.012	293.0	354.0
50-32-8	Benzo[a]pyrene	33.63316967783613	14232.278459796198	0.0	358.0	431.0
50-36-2	Cocaine	34.87265123339482	13548.410687176965	0.0	294.0	314.0
51-17-2	Benzimidazole	33.54866480492325	12242.844939449342	0.0	323.0	340.0
51-28-5	2,4-Dinitrophenol	36.97189503682657	12556.259006797132	-0.399	293.0	333.0
51-35-4	L-4-Hydroxyproline	40.63187706799153	19565.1346127232	0.0	456.0	482.0
51-79-6	Ethyl carbamate	28.673539542632533	6566.9634748786475	-43.194	255.0	272.0
52-52-8	Cycloleucine	27.04662501932666	14072.40997678962	0.0	443.0	468.0
53-70-3	Dibenzo[a,h]-anthracene	36.604678766195875	16797.94771517537	-1.747	433.0	460.0
55-21-0	Benzamide	33.83849119057841	11654.902861804241	0.0	325.0	342.0
56-04-2	4-Hydroxy-2-mercapto-6-methyl pyrimidine	27.431386988365965	9372.589727968916	1.819	293.0	313.0
56-23-5	Tetrachloromethane	17.612703634820754	1643.1247223605512	-95.25	226.0	249.0
56-40-6	Aminoacetic acid	38.133388035285556	16350.401158405399	-0.221	405.0	472.0
56-41-7	Alanine	34.10213718372623	13300.196619322394	-34.143	400.0	469.0
56-49-5	3-Methylcholanthrene	35.21343382715794	15296.072772759448	0.0	401.0	425.0
56-55-3	Benz[a]anthracene	24.279355228715488	7273.184743580665	-97.131	333.0	423.0
57-13-6	Urea	31.70682698903731	11082.065742369185	-13.15	333.0	401.0
57-56-7	Semicarbazide	35.127317144679964	12512.270421180576	-10.15	337.0	364.0
57-97-6	7,12-Dimethylbenz-[a]anthracene,(9,10-Dimethyl-1,2-benzanthracene)	38.38975785953951	15716.177120391118	0.0	379.0	396.0
58-08-2	Caffeine	14.925057236725316	3299.8439071101393	-172.375	349.0	356.0
58-89-9	γ-Hexachloro-cyclohexane	35.241387210186886	12162.339656842993	4.107	318.0	386.0
59-31-4	2-Hydroxyquinoline	35.50457268631611	13852.011136858417	0.0	373.0	391.0
60-09-3	4-Amino-azobenzene	34.905992665541376	13029.787933756454	0.0	356.0	398.0
60-11-7	4-(Dimethylamino)-azobenzene	37.46681267671471	14161.941392960509	0.0	346.0	381.0
60-35-5	Acetamide	32.17102814378491	9325.699885135185	0.0	298.0	349.0
60-57-1	Dieldrin	24.5446130314284	7601.75212342545	-58.609	308.0	348.0
61-90-5	L-Leucine	27.06230562380995	11220.35439788422	0.0	446.0	464.0
62-44-2	N-(4-ethoxyphenyl)-acetamide	37.32513461594279	13898.610853970431	0.0	312.0	388.0
62-56-6	Thiourea	32.72765506416529	12998.488894587383	2.629	368.0	395.0
62-57-7	2-Aminoisobutyric acid	38.1022801106792	16067.917716611793	-0.986	399.0	422.0
63-68-3	L-Methionine	33.51684307893807	15685.858982471666	0.0	463.0	486.0
63-91-2	L-Phenylalanine	42.24092353097577	18512.78414767213	0.0	451.0	469.0
64-10-8	Phenylurea	35.71862099656084	15988.989704794145	-10.15	363.0	419.0
64-18-6	Methanoic acid	32.08974689000222	6445.165933799633	-16.35	236.0	276.0
64-19-7	Ethanoic acid	32.3305972907294	6785.234726183924	-20.44	238.0	287.0
65-71-4	5-Methyluracil	36.37640048007644	16171.82186893315	0.276	420.0	503.0
65-85-0	Benzoic acid	42.8877196835978	16738.801211891634	72.947	293.0	313.0
66-22-8	Uracil	34.838112456999916	15710.538089498375	0.0	452.0	587.0
66-56-8	2,3-Dinitrophenol	33.78921586958833	11858.131324696991	-0.681	303.0	343.0
67-52-7	Barbituric acid	35.16507954020507	14350.976721340041	-7.15	386.0	510.0
67-72-1	Hexachloroethane	24.000074682786238	5400.7133356175345	-24.85	354.0	460.0
69-72-7	2-Hydroxybenzoic acid	33.88405934956876	10935.883825155364	-9.149	368.0	408.0
71-30-7	Cytosine	35.644017239547836	17722.997460775172	0.0	480.0	553.0
71-43-2	Benzene	26.995300397603824	4853.503988267499	-16.45	210.0	276.0
72-18-4	L-Norvaline	46.306436848718846	19564.85830251204	0.0	438.0	456.0
72-48-0	1,2-Dihydroxy-anthraquinone	29.906596885781777	11917.222565938495	-42.394	404.0	504.0
73-24-5	Adenine	28.926985083818387	13136.549594178216	0.0	448.0	473.0
73-32-5	L-Isoleucine	26.914456634988802	13930.409554104677	0.0	442.0	461.0
74-82-8	Methane	21.459448342878467	1039.939531399831	-4.66	58.0	89.0
74-84-0	Ethane	26.7993273803391	2324.689909886789	-3.15	81.0	89.0
74-86-2	Ethyne	25.522152506808094	2645.601194297369	-0.31	148.0	190.0
74-90-8	Hydrogen cyanide	26.589032283795955	4358.950156824052	0.309	237.0	256.0
75-22-9	Trimethylamine-borane(3)-complex(1:1)	28.32018483426167	7203.867721941172	7.75	296.0	367.0
75-46-7	Trifluoromethane	30.3964258126144	3082.470663991129	0.0	55.0	118.0
75-47-8	Triiodomethane	28.639691541765522	8957.274757330673	9.771	308.0	365.0
75-73-0	Tetrafluoromethane	21.13374768147446	1220.1329330222661	-15.41	76.0	89.0
76-11-9	1,2,2,2-Tetrachloro-1,1-difluoroethane	21.087281514297842	3180.9199922271823	-33.072	260.0	313.0
76-12-0	1,1,2,2-Tetrachloro-1,2difluoroethane	23.007683533556737	4188.381560890332	0.0	258.0	299.0
76-16-4	Hexafluoroethane	15.050386943336981	409.07726762132216	-91.53	146.0	171.0
76-84-6	Triphenylmethanol	33.8364879415475	14668.848593427869	0.0	353.0	373.0
78-11-5	2,2-Bis(hydroxy-methyl)-1,3-propanediol tetranitrate	45.71782702139678	17845.034470703857	0.0	370.0	411.0
79-05-0	Propanamide	32.61819016884435	9530.169441393056	0.0	318.0	346.0
79-06-1	Acryl amide	38.673620549803815	13642.452867545027	52.895	300.0	358.0
79-16-3	N-Methylacetamide	25.015284450287314	6500.197717522192	0.0	288.0	301.0
79-28-7	Tetrabromoethylene	28.84144404761366	6539.47981920867	28.082	220.0	310.0
79-40-3	Dithiooxamide	34.05375987092242	12615.288078241128	-0.381	348.0	370.0
80-62-6	Methyl metacrylate	35.84491778891156	7530.954539571162	2.384	194.0	224.0
81-14-1	3',5'-dinitro-2',6'-dimethyl-4'-tert-butylacetophenone	35.32372765311236	12970.461828835461	0.0	323.0	354.0
81-15-2	2,4,6-Trinitro-3,5-dimethyl-1-(1,1-dimethylethyl)-benzene	33.930663671850965	12077.05881275377	0.0	312.0	348.0
81-31-2	Violanthrene	35.01080633897447	23624.523054118912	0.0	560.0	730.0
81-60-7	1,4,5,8-Tetrahydroxy-anthraquinone	38.09857294867948	18227.263596140867	0.0	403.0	473.0
81-64-1	1,4-Dihydroxy-anthraquinone	34.48160320705165	13213.218770019637	-16.8	333.0	463.0
82-05-3	7H-Benz[de]-anthracene-7-one	35.82131629170837	13884.588110754097	0.0	385.0	405.0
82-28-0	1-Amino-2-methyl anthraquinone	35.81516838951008	14989.999346688119	0.0	358.0	388.0
82-34-8	1-Nitro-anthraquinone	38.62973327793135	16567.41289566481	0.0	407.0	440.0
82-38-2	1-Methylamino-anthraquinone	36.643108911397945	14913.843647322436	0.0	384.0	389.0
82-39-3	1-Methoxy-anthraquinone	36.09302133268167	15397.386516851186	0.0	443.0	450.0
82-45-1	1-Amino-anthraquinone	29.349463396680935	9712.260173132117	-90.347	413.0	522.0
82-71-3	2,4,6-Trinitro-1,3-benzendiol	27.70009866871837	14508.588670955483	0.0	325.0	435.0
83-32-9	Acenaphthene	28.100817552452124	7083.428706067025	-56.06	338.0	367.0
83-34-1	3-Methylindole	29.861166881897006	8243.922382595652	-28.735	288.0	334.0
83-66-9	6-tert-Butyl-3-methyl-2,4-dinitroanisole	35.839506713943024	12369.487119564015	0.0	303.0	346.0
83-73-8	5,7-Diiodo-8-quinolinol	32.22467837645167	13331.967688435525	0.0	323.0	383.0
84-11-7	Phenanthrenquinone	37.98114110893678	15876.324216193947	0.0	353.0	413.0
84-15-1	o-Terphenyl	22.621194625697683	7666.358055964677	0.0	325.0	333.0
84-60-6	2,6-Dihydroxy-anthraquinone	38.83309759334458	20895.959718920967	0.0	463.0	533.0
84-65-1	9,10-Anthraquinone	31.453749861466335	12165.25933474091	-4.722	450.0	558.0
85-01-8	Phenanthrene	33.68912249559588	11221.418192197183	0.05	306.0	321.0
85-02-9	5,6-Benzoquinoline	28.73566328844151	10063.171838719318	0.0	288.0	324.0
85-19-8	(5-Chloro-2-hydroxyphenyl)phenylmethanone	30.428662003916315	11052.40844637142	0.0	293.0	367.0
85-41-6	Phthalimide	27.950850185345423	9960.983112292242	0.0	378.0	418.0
85-44-9	Phthalic anhydride	32.40757271038819	10207.617606773021	-6.887	313.0	395.0
86-28-2	N-Ethylcarbazole	34.953863409624724	11826.848403623573	0.0	310.0	329.0
86-55-5	1-Naphthoic acid	42.27318274812862	13084.937149318754	0.0	340.0	361.0
86-57-7	1-Nitronaphthalene	26.276203073061783	8320.434982650751	0.0	309.0	327.0
86-73-7	Fluorene	19.18504689142267	3562.9672134418474	-133.083	307.0	348.0
86-74-8	Carbazole	16.15362453894322	5282.436447145709	0.0	378.0	434.0
87-18-3	Salicylic acid 4-tert-butylphenyl ester	48.13554136904053	16532.56096769725	0.0	293.0	336.0
87-61-6	1,2,3-Trichlorobenzene	29.442925325605565	7921.353236918117	0.05	286.0	304.0
87-66-1	1,2,3-Trihydroxybenzene	25.459844554191672	5091.812335052012	-124.649	377.0	398.0
87-85-4	Hexamethylbenzene	28.368700302171053	7714.049198410769	-42.816	303.0	343.0
87-86-5	Pentachlorophenol	32.73064842478618	11605.770301089935	0.0	319.0	393.0
