CAS	Name	A	B	C	Tmin	Tmax
50-29-3	2,2-Bis(4-chlorophenyl)-1,1,1-trichloroethane, p,p'-DDT	29.899113484229545	10344.335899254636	-37.012	293.0	354.0
50-32-8	Benzo[a]pyrene	33.63316967783613	14232.278459796198	0.0	358.0	431.0
53-70-3	Dibenzo[a,h]-anthracene	36.604678766195875	16797.94771517537	-1.747	433.0	460.0
56-23-5	Tetrachloromethane	17.612703634820754	1643.1247223605512	-95.25	226.0	249.0
56-49-5	3-Methylcholanthrene	35.21343382715794	15296.072772759448	0.0	401.0	425.0
56-55-3	Benz[a]anthracene	24.279355228715488	7273.184743580665	-97.131	333.0	423.0
57-97-6	7,12-Dimethylbenz-[a]anthracene,(9,10-Dimethyl-1,2-benzanthracene)	38.38975785953951	15716.177120391118	0.0	379.0	396.0
58-89-9	γ-Hexachloro-cyclohexane	35.241387210186886	12162.339656842993	4.107	318.0	386.0
63-68-3	L-methionine	34.06674645084691	15035.88065725112	0.0	463.0	485.0
67-72-1	Hexachloroethane	24.000074682786238	5400.7133356175345	-24.85	354.0	460.0
71-43-2	Benzene	26.995300397603824	4853.503988267499	-16.45	210.0	276.0
74-82-8	Methane	21.459448342878467	1039.939531399831	-4.66	58.0	89.0
74-84-0	Ethane	26.7993273803391	2324.689909886789	-3.15	81.0	89.0
74-86-2	Ethyne	25.522152506808094	2645.601194297369	-0.31	148.0	190.0
75-46-7	Trifluoromethane	30.3964258126144	3082.470663991129	0.0	55.0	118.0
75-47-8	Triiodomethane	28.639691541765522	8957.274757330673	9.771	308.0	365.0
75-73-0	Tetrafluoromethane	21.13374768147446	1220.1329330222661	-15.41	76.0	89.0
76-11-9	1,2,2,2-Tetrachloro-1,1-difluoroethane	21.087281514297842	3180.9199922271823	-33.072	260.0	313.0
76-12-0	1,1,2,2-Tetrachloro-1,2difluoroethane	23.007683533556737	4188.381560890332	0.0	258.0	299.0
76-16-4	Hexafluoroethane	15.050386943336981	409.07726762132216	-91.53	146.0	171.0
79-28-7	Tetrabromoethylene	28.84144404761366	6539.47981920867	28.082	220.0	310.0
79-40-3	Dithioxamide	34.16552735133635	12698.756787862163	0.0	359.0	379.0
81-31-2	Violanthrene	35.01080633897447	23624.523054118912	0.0	560.0	730.0
83-32-9	Acenaphthene	28.100817552452124	7083.428706067025	-56.06	338.0	367.0
83-73-8	5,7-Diiodo-8-quinolinol	32.22467837645167	13331.967688435525	0.0	323.0	383.0
84-15-1	o-Terphenyl	22.621194625697683	7666.358055964677	0.0	325.0	333.0
85-01-8	Phenanthrene	33.68912249559588	11221.418192197183	0.05	306.0	321.0
85-19-8	(5-Chloro-2-hydroxyphenyl)phenylmethanone	30.428662003916315	11052.40844637142	0.0	293.0	367.0
86-73-7	Fluorene	19.18504689142267	3562.9672134418474	-133.083	307.0	348.0
87-61-6	1,2,3-Trichlorobenzene	29.442925325605565	7921.353236918117	0.05	286.0	304.0
87-85-4	Hexamethylbenzene	28.368700302171053	7714.049198410769	-42.816	303.0	343.0
87-87-6	Tetrachloro-hydroquinone	28.103051059992328	10707.020682422313	0.0	298.0	359.0
91-20-3	Naphthalene	26.95387689178086	6032.56571098603	-52.5	310.0	353.0
92-06-8	m-Terphenyl	39.61583836985698	14411.230768053509	1.215	313.0	363.0
92-24-0	Naphthacene	34.04544753873671	15759.403550341895	12.967	420.0	450.0
92-52-4	1,1-Biphenyle	33.47159728186074	9870.843813656806	-0.985	280.0	334.0
92-84-2	Phenothiazine	26.22644420920218	10338.607067543266	0.0	336.0	395.0
92-85-3	Thianthrene	30.79813480793814	10267.109497820707	-27.837	358.0	427.0
92-94-4	p-Terphenyl	33.63881101131396	12713.32754633063	-21.932	333.0	433.0
95-15-8	Benzo[b]thiophene	27.957573733816965	7350.441078620801	0.0	272.0	303.0
95-47-6	1,2-Dimethylbenzene	38.65349595609105	8728.59351881997	0.0	210.0	243.0
95-93-2	1,2,4,5-Tetramethylbenzene	29.252985081284486	6971.9283255238815	-32.85	249.0	351.0
99-47-8	2-Chloro-3-nitroacetophenone	37.313161173459214	13124.735030066062	0.01	299.0	343.0
100-00-5	4-Nitrochlorobenzene	34.67209607179504	10004.73222905913	0.0	283.0	303.0
101-81-5	Diphenylmethane	29.462888738361823	8612.326787134329	0.0	273.0	298.0
102-36-3	1,2-Dichloro-4-isocyanatobenzene	24.89584936151371	7657.03949409333	62.218	333.0	463.0
103-29-7	1,2-Diphenylethane	14.533479615810748	1680.5279146111466	-187.926	293.0	323.0
103-30-0	trans-1,2-Diphenylethylene	32.0132089615111	9803.007354232106	-32.401	297.0	364.0
106-37-6	1,4-Dibromobenzene	32.347521291162906	9308.78509504205	8.984	274.0	353.0
106-39-8	1-Bromo-4-chlorobenzene	29.20110783913933	6868.318904094429	-30.33	273.0	338.0
106-47-8	4-Chloroaniline	32.69670832051545	9601.779837785172	0.0	299.0	346.0
106-93-4	1,2-Dibromoethane	27.651445045703408	6001.665019038051	0.0	251.0	281.0
107-26-6	Bromoethylmercury	28.945566945518852	9196.52486141822	0.0	285.0	303.0
108-70-3	1,3,5-Trichlorobenzene	26.021283877416412	6806.441534890399	0.05	281.0	301.0
109-66-0	Pentane	31.567060073892574	4616.683111453062	-8.15	142.0	142.0
110-54-3	Hexane	30.047353912516503	4601.9465668579	-23.15	168.0	177.0
110-82-7	Cyclohexane	21.632786948679062	3034.3466355475534	-47.3	170.0	279.0
115-09-3	Chloromethylmercury	26.603377388925306	7762.935382520127	0.0	267.0	285.0
118-75-2	Chloranil	32.662169544120545	11904.364930779217	0.0	333.0	356.0
120-12-7	Anthracene	31.291901155279785	11290.265486477705	-1.58	299.0	430.0
120-82-1	1,2,4-Trichlorobenzene	28.943264360425857	7492.611892602626	0.05	276.0	285.0
122-34-9	2-Chloro-4,6-bis(ethylamino)-1,3,5-triazine	39.81630142805304	15733.563940428316	0.0	323.0	403.0
129-00-0	Pyrene	31.670906661586603	11680.507608038335	0.0	298.0	401.0
132-65-0	Dibenzothiophene	33.244378184884084	11079.705592648863	0.0	303.0	366.0
135-48-8	Pentacene	38.89480687383683	22077.92960661195	42.099	470.0	526.0
139-40-2	2-Chloro-4,6-bis(isopropylamino)-1,3,5-triazine	38.865103526137204	15042.788412530103	0.0	323.0	403.0
142-82-5	Heptane	31.354761728318522	5263.939781093688	-23.15	175.0	179.0
143-36-2	Iodomethylmercury	26.774689719844066	7814.283030093893	0.0	263.0	290.0
150-68-5	3-(p-Chlorophenyl)-1,1-dimethylurea	35.529118243407424	13788.777545034616	0.0	303.0	379.0
190-26-1	Ovalene	41.174826632919526	25420.539426654268	0.0	590.0	610.0
190-39-6	Phenanthro[1.10.9.8-opqra]perylene	36.64333916990725	21713.377426933854	0.0	590.0	630.0
190-93-2	Benzo[rst]phenanthro-[1, 10, 9-cde]-pentaphene	31.971394016222327	18535.809998602068	0.0	480.0	600.0
191-07-1	Coronene	27.1719317000874	12645.08122675938	-48.484	430.0	560.0
191-13-9	Pyranthrene	39.028817326249076	23371.238693889565	0.0	590.0	630.0
191-24-2	Benzo[ghi]perylene	33.441571572248094	15361.065539594296	-0.109	380.0	470.0
191-26-4	Dibenzochrysene(Anthanthrene)	34.5710125862126	16256.250756537964	0.0	465.0	495.0
191-68-4	Dibenzo[g,p]chrysene	34.94764642987364	16669.456559231025	-5.682	406.0	490.0
191-79-7	Tetrabenzo-[de,hi,op,st]pentacene	34.36608251293613	14253.001725633145	0.0	345.0	445.0
192-51-8	Dibenzo[fg,op]-naphthacene	34.55028932037566	17729.905216054154	0.0	431.0	555.0
192-65-4	Dibenzo[a,e]pyrene	35.93184037617209	17614.77596140445	0.0	414.0	506.0
192-97-2	Benzo[e]pyrene	33.944018665390324	14322.079278422965	0.0	359.0	423.0
198-55-0	Perylene	35.74942958510509	15755.03324383539	-11.229	380.0	520.0
206-44-0	Fluoranthene	31.226576816191542	11375.493371109787	0.0	283.0	358.0
207-08-9	Benzo[k]fluoranthene	25.271055602417093	8718.13517732759	-89.061	360.0	450.0
208-96-8	Acenaphthylene	29.256485010625838	8707.239344667541	-1.688	298.0	323.0
213-46-7	Picene	34.71147027688524	16924.000433506237	0.0	409.0	527.0
214-17-5	Benzo[b]chrysene,1,2:6,7-Dibenzophenanthrene	34.71147027688524	16463.483414907427	0.0	403.0	513.0
215-58-7	Dibenzo[a,c]-anthracene	37.2456263526817	16816.244056324304	1.164	424.0	450.0
217-59-4	Triphenylene	28.63264563138096	12940.528222626537	0.0	363.0	468.0
218-01-9	Chrysene	30.7907204839387	11467.410265437016	-44.418	353.0	443.0
259-79-0	Biphenylene	30.198910063337372	8390.553303902607	-31.115	338.0	384.0
275-51-4	Azulene	19.608791626086365	2834.7585596868294	-152.095	293.0	373.0
277-10-1	Pentacyclo-[4.2.0.0(2,5).0(3,8)-.0,(4,7)]octane, (Cubane)	37.11767169906402	9647.831539645053	0.0	239.0	262.0
279-23-2	Bicyclo[2.2.1]heptane	22.45331314656749	3706.1972165664492	-37.779	300.0	364.0
280-33-1	Bicyclo[2.2.2]octane	24.759697504964976	5563.966618710812	0.0	323.0	363.0
281-23-2	Adamantane	23.905714745675343	5392.820073918751	-40.929	290.0	435.0
288-05-1	Selenophene	21.767350021513632	3323.371721590352	-50.895	209.0	241.0
289-68-9	Tricyclo[8.2.2.2(4,7)]hexadecane	30.797075618795365	10246.503663823505	0.0	316.0	338.0
291-21-4	1,3,5-Trithiane	20.54978907604024	5165.3546003371475	-77.011	332.0	359.0
295-17-0	Cyclotetradecane	55.92221640386942	16591.81569248036	0.0	293.0	313.0
302-17-0	Chloral hydrate	29.106057126500534	6597.4128601484	8.58	263.0	320.0
