CAS	Chemical	molecular_diameter	Stockmayer
50-99-7	Glucose	5.56833	584.37
56-23-5	Carbon tetrachloride	5.2924	418.84
56-40-6	Glycine	5.51083	790.25
56-81-5	Glycerol	5.81929	559.6
57-11-4	Stearic acid	8.106	621.52
57-48-7	Fructose	7.32992	961.35
57-50-1	Sucrose	7.34222	840.56
57-55-6	Propylene glycol	4.87551	484.52
58-08-2	Caffeine	6.05672	662.23
58-27-5	Vitamin K3	6.62867	691.84
58-86-6	Xylose	5.43322	738.01
59-02-9	α-Tocopherol	8.71108	746.37
59-23-4	Galactose	5.56327	820.08
60-12-8	2-Phenylethanol	5.75677	529.42
60-29-7	Diethyl ether	5.23105	361.23
60-33-3	Linoleic acid	7.93427	599.85
60-35-5	Acetamide	5.05897	589.01
62-53-3	Aniline	5.2745	541.03
63-42-3	Lactose	8.49677	1108.28
64-17-5	Ethanol	4.23738	1291.41
65-85-0	Benzoic acid	5.65763	582.05
67-47-0	5-(Hydroxymethyl) furfural	5.48201	570.67
67-56-1	Methanol	3.79957	685.96
67-63-0	2-Propanol	4.93749	393.42
67-64-1	Acetone	4.67012	332.97
69-65-8	Mannitol	5.66525	964.45
69-72-7	Salicylic acid	5.40889	571.99
71-23-8	1-Propanol	4.4919	2120.83
71-36-3	1-Butanol	5.22056	435.84
71-41-0	1-Pentanol	5.49895	455.27
71-43-2	Benzene	5.19165	308.43
73-32-5	Isoleucine	6.0269	589.41
74-82-8	Methane	3.58484	167.15
74-83-9	Methyl bromide	4.06694	361.46
74-84-0	Ethane	4.17587	213.99
74-85-1	Ethylene	4.04838	169.08
74-87-3	Methyl chloride	4.14999	322.22
74-98-6	Propane	4.50412	457.99
75-05-8	Acetonitrile	4.02424	652.53
75-12-7	Formamide	4.81768	596.75
75-15-0	Carbon disulphide	4.29901	376.51
75-65-0	2-Methyl-2-propanol	5.22113	391.8
75-72-9	Chlorotrifluoromethane	4.37636	410.79
75-84-3	2,2-Dimethyl-1-propanol	5.39808	425.7
75-85-4	2-Methyl-2-butanol	5.38318	421.95
76-22-2	Camphor	6.31568	548.77
78-70-6	Linalool	6.40654	499.85
78-93-3	2-Butanone	5.22195	415.48
78-96-6	Monoisopropanolamine	4.95944	475.24
79-05-0	Propanamide	5.42671	555.73
79-29-8	2,3-Dimethylbutane	5.60227	387
80-56-8	α-Pinene	6.25044	489.17
80-68-2	Threonine	5.39767	665.49
84-80-0	Vitamin K1	9.50177	1029.06
85-01-8	Phenanthrene	6.77034	675.7
87-59-2	2,3-Dimethylaniline	5.97871	554.96
87-62-7	2,6-Dimethylaniline	5.73044	558.83
87-89-8	myo-Inositol	5.60259	657.9
87-99-0	Xylitol	5.64219	799.53
90-05-1	Guaiacol	5.46372	539.48
90-12-0	1-Methylnaphthalene	6.12893	597.53
90-15-3	1-Naphthol	5.70365	620.75
91-20-3	Naphthalene	5.85874	579.26
91-23-6	2-Nitroanisole	6.07271	605.27
92-52-4	Biphenyl	6.04576	610.69
93-89-0	Ethyl benzoate	6.68655	517.57
95-15-8	Benzothiophene	5.61049	591.34
95-47-6	o-Xylene	5.70029	487.85
95-50-1	1,2-Dichlorobenzene	5.79009	564.25
96-22-0	3-Pentanone	5.49858	434.21
96-37-7	Methylcyclopentane	5.38824	412.31
97-53-0	Eugenol	6.17078	569.13
98-01-1	Furfural	5.10151	518.7
98-06-6	tert-Butylbenzene	6.20099	510.84
98-19-1	5-tert-Butyl-m-xylene	6.67527	530.07
98-82-8	i-Propylbenzene	5.97029	488.47
98-85-1	1-Phenylethanol	5.67259	522.68
98-95-3	Nitrobenzene	5.64167	556.51
99-08-1	3-Nitrotoluene	5.93831	568.12
100-00-5	p-Chloronitrobenzene	5.89621	581.27
100-37-8	N,N-Diethylethanolamine	5.87199	458.21
100-41-4	Ethylbenzene	5.72572	477.71
100-42-5	Styrene	5.62827	500.78
100-47-0	Benzonitrile	5.66827	541.3
100-51-6	Phenylmethanol	5.64457	557.43
100-66-3	Anisole	5.5356	496.64
102-54-5	Ferrocene	6.37838	608.57
102-71-6	Triethanolamine	6.641	597.61
103-45-7	2-Phenylethyl acetate	6.31046	551.27
103-50-4	Dibenzyl ether	6.78621	601.4
103-65-1	n-Propylbenzene	5.99624	493.97
103-82-2	Phenylacetic acid	6.03311	606.47
104-51-8	n-Butylbenzene	6.24687	511.23
104-93-8	4-Methylanisole	5.85195	507.25
105-05-5	1,4-Diethylbenzene	6.29672	509.26
105-54-4	Butyric acid ethyl ester	5.85491	448.15
